# Time, Reward, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
1.400000000000000000e+01,2.454944300891842845e-01,-3.327468999334518562e-01,-5.089383351062584993e+00,-3.327467478213959606e-01,-5.089374306017370841e+00
1.500000000000000000e+01,2.425601132581686192e-01,-3.518320874999365522e-01,-4.580445015956327914e+00,-3.518318987848620960e-01,-4.580436231231877819e+00
1.600000000000000000e+01,2.394434167616449061e-01,-3.690087903546506176e-01,-4.122408685131380146e+00,-3.278336215699400591e-01,5.759586531581287083e+00
1.700000000000000000e+01,2.377104874315683070e-01,-3.844678242407654212e-01,-3.710168132667548857e+00,-3.038353443550180222e-01,5.759586531581287083e+00
1.800000000000000000e+01,2.360038763422953600e-01,-3.983809193765187606e-01,-3.339142832580801468e+00,-2.798370671400959853e-01,5.759586531581287083e+00
1.900000000000000000e+01,2.340666006251771736e-01,-4.109027049986967439e-01,-3.005228549322720877e+00,-2.558387899251739483e-01,5.759586531581287083e+00
2.000000000000000000e+01,2.318955727952349000e-01,-4.221723120586569622e-01,-2.704705694390449722e+00,-2.318405127102519114e-01,5.759586531581287083e+00
2.100000000000000000e+01,2.295266038680504883e-01,-4.323149584126211309e-01,-2.434235124951404927e+00,-2.078422354953298745e-01,5.759586531581287083e+00
2.200000000000000000e+01,2.269726059381178551e-01,-4.414433401311889105e-01,-2.190811612456265323e+00,-1.838439582804078376e-01,5.759586531581287083e+00
2.300000000000000000e+01,2.242399725239482278e-01,-4.496588836778999121e-01,-1.971730451210638169e+00,-1.598456810654858007e-01,5.759586531581287083e+00
2.400000000000000000e+01,2.213328976842751372e-01,-4.570528728699397858e-01,-1.774557406089574130e+00,-1.358474038505637638e-01,5.759586531581287083e+00
2.500000000000000000e+01,2.182545736393073366e-01,-4.637074631427756666e-01,-1.597101665480616717e+00,-1.118491266356417269e-01,5.759586531581287083e+00
2.600000000000000000e+01,2.150075707349548282e-01,-4.696965943883280037e-01,-1.437391498932555578e+00,-8.785084942071968994e-02,5.759586531581287083e+00
2.700000000000000000e+01,2.115939938866806536e-01,-4.750868125093251071e-01,-1.293652349039299487e+00,-6.385257220579765303e-02,5.759586531581287083e+00
2.800000000000000000e+01,2.080155740068045933e-01,-4.799380088182414461e-01,-1.164287114139921808e+00,-3.985429499723026209e-02,5.759586530056173714e+00
2.900000000000000000e+01,2.059656877903490169e-01,-4.843040854962071817e-01,-1.047858402711774772e+00,-1.585601778230823211e-02,5.759586531581287083e+00
3.000000000000000000e+01,2.054575767956661470e-01,-4.882335545063226645e-01,-9.430725624277176422e-01,8.142259432613797865e-03,5.759586531581287083e+00
3.100000000000000000e+01,2.064955276646099069e-01,-4.917700766155203018e-01,-8.487653062074275168e-01,3.214053664753582784e-02,5.759586531581287083e+00
3.200000000000000000e+01,2.089786916720562937e-01,-4.949529465137981754e-01,-7.638887755866843321e-01,5.613881386245785782e-02,5.759586531581287083e+00
3.300000000000000000e+01,2.128555287711367539e-01,-4.978175294222482727e-01,-6.874998980280201399e-01,8.013709107737693182e-02,5.759586531580579205e+00
3.400000000000000000e+01,2.179658627811667249e-01,-5.003956540398533104e-01,-6.187499082252130300e-01,1.041353682922989687e-01,5.759586531581287083e+00
3.500000000000000000e+01,2.231725039373523012e-01,-5.027159661956978054e-01,-5.568749174026920157e-01,1.281336455072210057e-01,5.759586531581287083e+00
3.600000000000000000e+01,2.283493744534386694e-01,-5.048042471359579508e-01,-5.011874256624242463e-01,1.521319227221430426e-01,5.759586531581287083e+00
3.700000000000000000e+01,2.336497495596879248e-01,-5.066836999821919818e-01,-4.510686830961807559e-01,1.761301979406936502e-01,5.759586052452143612e+00
3.800000000000000000e+01,2.386866936596242494e-01,-5.083752075438027207e-01,-4.059618147865640680e-01,2.001284709396073669e-01,5.759585519739292891e+00
3.900000000000000000e+01,2.434218991356016104e-01,-5.098975643492523746e-01,-3.653656333079062235e-01,2.241267473561600054e-01,5.759586339972634583e+00
4.000000000000000000e+01,2.479605491473057532e-01,-5.112676854741570187e-01,-3.288290699771145853e-01,2.481250245710820423e-01,5.759586531581287083e+00
