,Unnamed:0,des_spring_k,des_spring_k.1,des_zeta,des_zeta.1,max_height,max_height.1,rollout/ep_len_mean,rollout/ep_len_mean.1,rollout/ep_rew_mean,rollout/ep_rew_mean.1,time/fps,time/fps.1,train/actor_loss,train/actor_loss.1,train/critic_loss,train/critic_loss.1,train/learning_rate,train/learning_rate.1,Unnamed:0,des_spring_k,des_spring_k.1,des_zeta,des_zeta.1,max_height,max_height.1,rollout/ep_len_mean,rollout/ep_len_mean.1,rollout/ep_rew_mean,rollout/ep_rew_mean.1,time/fps,time/fps.1,train/actor_loss,train/actor_loss.1,train/critic_loss,train/critic_loss.1,train/learning_rate,train/learning_rate.1,Unnamed:0,des_spring_k,des_spring_k.1,des_zeta,des_zeta.1,max_height,max_height.1,rollout/ep_len_mean,rollout/ep_len_mean.1,rollout/ep_rew_mean,rollout/ep_rew_mean.1,time/fps,time/fps.1,train/actor_loss,train/actor_loss.1,train/critic_loss,train/critic_loss.1,train/learning_rate,train/learning_rate.1,Unnamed:0,des_spring_k,des_spring_k.1,des_zeta,des_zeta.1,max_height,max_height.1,rollout/ep_len_mean,rollout/ep_len_mean.1,rollout/ep_rew_mean,rollout/ep_rew_mean.1,time/fps,time/fps.1,train/actor_loss,train/actor_loss.1,train/critic_loss,train/critic_loss.1,train/learning_rate,train/learning_rate.1,Unnamed:0,des_spring_k,des_spring_k.1,des_zeta,des_zeta.1,max_height,max_height.1,rollout/ep_len_mean,rollout/ep_len_mean.1,rollout/ep_rew_mean,rollout/ep_rew_mean.1,time/fps,time/fps.1,train/actor_loss,train/actor_loss.1,train/critic_loss,train/critic_loss.1,train/learning_rate,train/learning_rate.1
534,131531.0,6242.63330078125,1647375879.7148426,0.009956050664186478,1647375879.7149193,0.00022530941350851208,1647375879.7149487,108.1500015258789,1647375879.714972,-0.16492444276809692,1647375879.714993,163.0,1647375879.7150147,0.12401152402162552,1647375879.715036,0.03012692555785179,1647375879.7150557,0.0010000000474974513,1647375879.7150755,117462.0,7957.03564453125,1647375832.6667776,0.004374044016003609,1647375832.6668417,0.000260285654803738,1647375832.6668692,83.47000122070312,1647375832.6668913,-0.1353687047958374,1647375832.6669126,170.0,1647375832.6669343,6.545168399810791,1647375832.6669624,6.149466037750244,1647375832.6670012,0.0010000000474974513,1647375832.6670425,244865.0,8620.3857421875,1647376912.5803657,0.006634392775595188,1647376912.5804305,0.007791589479893446,1647376912.580459,130.00999450683594,1647376912.5804825,-0.7913166880607605,1647376912.5805042,135.0,1647376912.580526,448.8136291503906,1647376912.5805476,4287.56884765625,1647376912.5805676,0.0010000000474974513,1647376912.5805883,134647.0,6514.134765625,1647375684.4170222,0.00883414689451456,1647375684.4170928,0.0016611606115475297,1647375684.4171329,104.0,1647375684.417158,-0.14510418474674225,1647375684.417181,161.0,1647375684.4172096,0.31357237696647644,1647375684.417251,0.003915463574230671,1647375684.4172947,0.0010000000474974513,1647375684.4173405,136913.0,3275.585205078125,1647375712.5700948,0.0028897339943796396,1647375712.570165,0.00022351906227413565,1647375712.5701916,129.33999633789062,1647375712.570214,-0.109380342066288,1647375712.5702353,160.0,1647375712.570257,9.538910865783691,1647375712.570278,21.93111801147461,1647375712.5703037,0.0010000000474974513,1647375712.5703242
535,131605.0,4622.35107421875,1647375880.3178804,0.0024192268028855324,1647375880.317966,0.0023946308065205812,1647375880.3179996,104.4000015258789,1647375880.3180234,-0.16207540035247803,1647375880.318045,163.0,1647375880.3180666,0.12372841686010361,1647375880.3180883,0.006353429518640041,1647375880.3181083,0.0010000000474974513,1647375880.318129,117553.0,5242.43603515625,1647375833.434745,0.0012915011029690504,1647375833.4348156,0.00052468734793365,1647375833.434845,75.94999694824219,1647375833.4348679,-0.1174563318490982,1647375833.4348896,170.0,1647375833.434922,6.601000785827637,1647375833.4349642,6.529045104980469,1647375833.4350061,0.0010000000474974513,1647375833.4350488,246465.0,6065.93115234375,1647376923.0836363,0.0011266730725765228,1647376923.0836987,-0.002006281167268753,1647376923.0837295,141.1999969482422,1647376923.0837562,-0.9337689876556396,1647376923.0837815,136.0,1647376923.0838075,464.41607666015625,1647376923.083833,85321.15625,1647376923.083857,0.0010000000474974513,1647376923.08389,135098.0,8557.08203125,1647375688.154242,0.00475776381790638,1647375688.1543205,0.0005290672997944057,1647375688.1543713,104.05000305175781,1647375688.1544182,-0.1462363451719284,1647375688.1544545,161.0,1647375688.154481,0.33008766174316406,1647375688.1545048,0.005034951027482748,1647375688.1545267,0.0010000000474974513,1647375688.154549,137377.0,4123.0859375,1647375716.477942,0.003068797755986452,1647375716.478002,0.0023762197233736515,1647375716.4780293,121.66000366210938,1647375716.478052,-0.10196489840745926,1647375716.4780734,159.0,1647375716.478095,9.291767120361328,1647375716.4781163,9.970927238464355,1647375716.4781365,0.0010000000474974513,1647375716.4781568
536,131681.0,6258.537109375,1647375881.0060825,0.008882655762135983,1647375881.006178,0.00033190191606990993,1647375881.0062115,104.56999969482422,1647375881.0062363,-0.16209876537322998,1647375881.0062578,163.0,1647375881.0062795,0.12449038773775101,1647375881.0063007,0.0006657454650849104,1647375881.0063207,0.0010000000474974513,1647375881.006341,117625.0,4861.97021484375,1647375834.0622137,0.008315378800034523,1647375834.0622878,0.0007020674529485404,1647375834.062317,75.91999816894531,1647375834.0623393,-0.11749864369630814,1647375834.062362,170.0,1647375834.0623834,6.428755760192871,1647375834.0624049,4.095763206481934,1647375834.0624251,0.0010000000474974513,1647375834.0624456,246963.0,4047.269775390625,1647376927.2530541,0.008267167024314404,1647376927.2531185,0.0070022461004555225,1647376927.253164,145.17999267578125,1647376927.2532084,-0.9763510227203369,1647376927.2532506,135.0,1647376927.2533045,468.69537353515625,1647376927.2533333,5424.857421875,1647376927.2533553,0.0010000000474974513,1647376927.2533774,135550.0,4821.73046875,1647375691.913273,0.002423421246930957,1647375691.9133425,0.002936871023848653,1647375691.9133737,107.95999908447266,1647375691.9133985,-0.15086600184440613,1647375691.9134214,161.0,1647375691.9134448,0.3280738890171051,1647375691.9134676,0.0038350438699126244,1647375691.9134896,0.0010000000474974513,1647375691.9135122,137441.0,4939.38134765625,1647375717.0227542,0.0019134222529828548,1647375717.022815,0.0001642161951167509,1647375717.022843,106.30000305175781,1647375717.0228665,-0.0908135399222374,1647375717.022888,159.0,1647375717.0229104,5.101217746734619,1647375717.0229318,481.6144714355469,1647375717.0229526,0.0010000000474974513,1647375717.0229728
537,132137.0,7819.6962890625,1647375881.943604,0.008470273576676846,1647375881.943688,0.0004105801635887474,1647375881.9437191,108.51000213623047,1647375881.943743,-0.1642404943704605,1647375881.9437642,163.0,1647375881.9437861,0.12355019897222519,1647375881.9438071,0.0006545077776536345,1647375881.9438398,0.0010000000474974513,1647375881.9438822,118081.0,8347.98828125,1647375835.0387244,0.009270118549466133,1647375835.0387878,0.00035217509139329195,1647375835.0388153,76.0199966430664,1647375835.0388374,-0.11456339061260223,1647375835.0388584,170.0,1647375835.0388806,6.621448040008545,1647375835.0389016,3.6747941970825195,1647375835.0389218,0.0010000000474974513,1647375835.0389419,247448.0,7017.033203125,1647376931.3095713,0.003013645764440298,1647376931.3096342,0.009678846225142479,1647376931.3096755,148.9600067138672,1647376931.3097208,-0.9962694048881531,1647376931.3097637,135.0,1647376931.309809,467.85302734375,1647376931.30984,5907.947265625,1647376931.309868,0.0010000000474974513,1647376931.30989,135624.0,7699.19287109375,1647375692.5606508,0.006936247926205397,1647375692.5607476,0.004811912775039673,1647375692.560805,107.9800033569336,1647375692.560859,-0.15089097619056702,1647375692.5609176,161.0,1647375692.5609717,0.32796719670295715,1647375692.5610244,0.0035705342888832092,1647375692.5610757,0.0010000000474974513,1647375692.5611281,137528.0,4945.96923828125,1647375717.7863817,0.007080987095832825,1647375717.7864556,0.0038534447085112333,1647375717.7865076,91.16999816894531,1647375717.7865589,-0.08488933742046356,1647375717.786585,159.0,1647375717.7866087,8.06697940826416,1647375717.7866306,37.51047134399414,1647375717.7866514,0.0010000000474974513,1647375717.786672
538,133352.0,8967.0732421875,1647375895.112497,0.002243599621579051,1647375895.1125598,-0.0008301541092805564,1647375895.1125872,112.33999633789062,1647375895.1126099,-0.1815182864665985,1647375895.1126306,162.0,1647375895.112652,0.14584074914455414,1647375895.1126726,0.021016182377934456,1647375895.1126926,0.0010000000474974513,1647375895.1127129,118169.0,3023.85009765625,1647375838.6725416,0.007316397503018379,1647375838.6726077,0.0020124565344303846,1647375838.6726356,76.05999755859375,1647375838.6726577,-0.11453928798437119,1647375838.672678,169.0,1647375838.672699,6.375915050506592,1647375838.672719,63.97967529296875,1647375838.672738,0.0010000000474974513,1647375838.6727574,248664.0,8889.001953125,1647376944.3245747,0.005851781461387873,1647376944.3246384,-0.002006281167268753,1647376944.3246677,160.13999938964844,1647376944.3246918,-1.0973310470581055,1647376944.3247144,135.0,1647376944.3247383,478.6277160644531,1647376944.3247614,74795.34375,1647376944.3247826,0.0010000000474974513,1647376944.3248043,135687.0,9110.77734375,1647375693.128052,0.005166123621165752,1647375693.1281292,0.004902953281998634,1647375693.1281726,100.26000213623047,1647375693.1282113,-0.14418959617614746,1647375693.1282477,161.0,1647375693.1282852,0.32392826676368713,1647375693.1283216,0.004597021732479334,1647375693.1283574,0.0010000000474974513,1647375693.1283994,137605.0,4937.3203125,1647375718.4086163,0.007084857206791639,1647375718.4086742,0.00034840431180782616,1647375718.4087079,79.69999694824219,1647375718.4087315,-0.08001814037561417,1647375718.4087534,159.0,1647375718.408776,8.460786819458008,1647375718.4087973,25.030614852905273,1647375718.4088173,0.0010000000474974513,1647375718.4088376
539,133808.0,4801.2939453125,1647375899.0034924,0.008641841821372509,1647375899.0035632,0.0005297652678564191,1647375899.003592,116.30000305175781,1647375899.0036147,-0.19173307716846466,1647375899.003636,162.0,1647375899.0036576,0.14611659944057465,1647375899.003679,2.210458517074585,1647375899.0036993,0.0010000000474974513,1647375899.0037196,118624.0,6467.10546875,1647375842.5931678,0.006424827501177788,1647375842.5932374,0.0017688774969428778,1647375842.593265,76.13999938964844,1647375842.5932877,-0.11324060708284378,1647375842.5933084,169.0,1647375842.5933301,7.004940509796143,1647375842.5933511,114.18315887451172,1647375842.593371,0.0010000000474974513,1647375842.5933912,249512.0,6117.65478515625,1647376948.5308266,0.008028571493923664,1647376948.5308986,-0.0012789558386430144,1647376948.5309298,167.49000549316406,1647376948.530957,-1.1390546560287476,1647376948.5309827,135.0,1647376948.5310082,487.008056640625,1647376948.5310338,126498.265625,1647376948.5310576,0.0010000000474974513,1647376948.531082,135755.0,9264.6611328125,1647375693.6458821,0.007625570520758629,1647375693.6459484,0.0017856478225439787,1647375693.6459773,96.5199966430664,1647375693.6460013,-0.14044253528118134,1647375693.6460242,161.0,1647375693.6460476,0.34072646498680115,1647375693.6460698,0.011418638750910759,1647375693.6460907,0.0010000000474974513,1647375693.6461124,138454.0,4790.32080078125,1647375725.5593555,0.0022922391071915627,1647375725.559418,0.0028160715010017157,1647375725.559445,72.19000244140625,1647375725.559468,-0.08599148690700531,1647375725.5594893,159.0,1647375725.5595112,9.644769668579102,1647375725.5595326,12.084907531738281,1647375725.5595522,0.0010000000474974513,1647375725.5595727
540,133885.0,7333.23974609375,1647375899.7236204,0.0010608348529785872,1647375899.7236848,0.0006062588072381914,1647375899.7237127,108.73999786376953,1647375899.7237356,-0.18371206521987915,1647375899.7237628,162.0,1647375899.7237842,0.12573465704917908,1647375899.7238054,0.006793819833546877,1647375899.7238252,0.0010000000474974513,1647375899.723845,119090.0,6184.57275390625,1647375846.5184598,0.007697188761085272,1647375846.5185332,0.0022754715755581856,1647375846.5185876,80.12000274658203,1647375846.5186403,-0.12440845370292664,1647375846.5186932,169.0,1647375846.5187469,6.883995532989502,1647375846.5187995,189.69027709960938,1647375846.5188503,0.0010000000474974513,1647375846.5189042,250768.0,4059.372314453125,1647376958.9670312,0.0025241088587790728,1647376958.9671254,0.003929637838155031,1647376958.9671733,179.17999267578125,1647376958.9672086,-1.2747671604156494,1647376958.9672327,135.0,1647376958.9672568,498.242431640625,1647376958.96728,176721.0625,1647376958.9673014,0.0010000000474974513,1647376958.9673233,136199.0,5796.140625,1647375697.468864,0.006347706075757742,1647375697.4689353,-0.0009837949182838202,1647375697.4689648,92.62000274658203,1647375697.4689891,-0.13259227573871613,1647375697.4690123,161.0,1647375697.469036,0.3318711519241333,1647375697.469059,54.50019836425781,1647375697.469081,0.0010000000474974513,1647375697.4691029,138912.0,9191.5625,1647375729.4768164,0.004950487986207008,1647375729.476878,0.0024471059441566467,1647375729.4769135,64.5199966430664,1647375729.4769428,-0.09220582991838455,1647375729.4769647,159.0,1647375729.4769864,9.020333290100098,1647375729.4770079,8.785346984863281,1647375729.4770281,0.0010000000474974513,1647375729.4770484
541,134349.0,3583.8642578125,1647375903.6286654,0.002640513004735112,1647375903.62873,0.0005471573676913977,1647375903.6287582,108.91999816894531,1647375903.6287813,-0.17254401743412018,1647375903.6288025,162.0,1647375903.6288314,0.14492179453372955,1647375903.628853,0.014642876572906971,1647375903.628873,0.0010000000474974513,1647375903.6288936,119547.0,3962.881591796875,1647375850.383507,0.0066022444516420364,1647375850.3835816,-0.0009717817301861942,1647375850.3836095,80.18000030517578,1647375850.3836327,-0.13244011998176575,1647375850.3836534,168.0,1647375850.383675,6.8692240715026855,1647375850.3836963,16339.10546875,1647375850.3837163,0.0010000000474974513,1647375850.3837366,252012.0,7245.1181640625,1647376971.9525728,0.0038946326822042465,1647376971.9526367,-0.002006281167268753,1647376971.9526649,190.58999633789062,1647376971.9526887,-1.3598434925079346,1647376971.9527102,135.0,1647376971.9527335,506.931396484375,1647376971.9527557,142604.9375,1647376971.9527767,0.0010000000474974513,1647376971.952798,136652.0,6364.0400390625,1647375701.2590368,0.005835584364831448,1647375701.2591088,0.0026040817610919476,1647375701.259149,88.81999969482422,1647375701.259181,-0.13267549872398376,1647375701.2592216,160.0,1647375701.2592664,0.3392939567565918,1647375701.25931,0.0031517886091023684,1647375701.2593439,0.0010000000474974513,1647375701.259368,139375.0,6056.9404296875,1647375733.3529766,0.006315234582871199,1647375733.3530369,0.0019808243960142136,1647375733.3530645,64.52999877929688,1647375733.3530877,-0.09287337213754654,1647375733.3531096,159.0,1647375733.3531318,9.087438583374023,1647375733.3531535,9.17973518371582,1647375733.353174,0.0010000000474974513,1647375733.353195
542,134424.0,5605.67041015625,1647375904.3147805,0.002852843375876546,1647375904.3148751,0.0007702469592913985,1647375904.3149338,109.05999755859375,1647375904.3149872,-0.17281416058540344,1647375904.3150396,162.0,1647375904.315094,0.14397497475147247,1647375904.3151467,0.012162123806774616,1647375904.3151982,0.0010000000474974513,1647375904.3152502,120003.0,2974.615966796875,1647375854.3105106,0.004036038648337126,1647375854.310575,0.000703559722751379,1647375854.3106024,80.26000213623047,1647375854.3106246,-0.12594935297966003,1647375854.3106444,168.0,1647375854.3106658,6.8898773193359375,1647375854.3106863,6.685536861419678,1647375854.3107061,0.0010000000474974513,1647375854.310742,252846.0,3309.02783203125,1647376976.2544389,0.009905114769935608,1647376976.2545033,0.0038056522607803345,1647376976.2545326,194.2100067138672,1647376976.2545662,-1.3801169395446777,1647376976.2545886,135.0,1647376976.2546117,512.333740234375,1647376976.2546341,6700.19140625,1647376976.2546558,0.0010000000474974513,1647376976.2546773,136721.0,7945.13818359375,1647375701.8504999,0.005384217482060194,1647375701.8505707,0.0030967264901846647,1647375701.8506021,88.91999816894531,1647375701.8506277,-0.13249078392982483,1647375701.85065,160.0,1647375701.8506734,0.33599260449409485,1647375701.8506954,0.04655557498335838,1647375701.850726,0.0010000000474974513,1647375701.8507476,139457.0,3318.107421875,1647375734.0568435,0.0070329634472727776,1647375734.0569108,0.0009410169441252947,1647375734.05694,64.56999969482422,1647375734.0569634,-0.0929998904466629,1647375734.056985,159.0,1647375734.0570066,8.99216079711914,1647375734.057027,6.170843601226807,1647375734.0570471,0.0010000000474974513,1647375734.057067
543,134490.0,5785.43017578125,1647375904.830683,0.0010790037922561169,1647375904.8307471,0.00023419264471158385,1647375904.8307753,105.23999786376953,1647375904.8307977,-0.16953998804092407,1647375904.830819,162.0,1647375904.8308408,0.1433265209197998,1647375904.8308623,0.02787686325609684,1647375904.8308828,0.0010000000474974513,1647375904.8309033,120076.0,6790.77734375,1647375854.971669,0.007605956867337227,1647375854.9717534,0.004312093369662762,1647375854.9718015,76.33999633789062,1647375854.9718308,-0.12045924365520477,1647375854.9718528,168.0,1647375854.9718747,7.0053205490112305,1647375854.9718962,15.41634750366211,1647375854.971916,0.0010000000474974513,1647375854.9719362,253713.0,7617.80224609375,1647376986.2626805,0.005237630568444729,1647376986.2627456,-0.0010800798190757632,1647376986.2627757,197.52999877929688,1647376986.2628007,-1.402881145477295,1647376986.2628236,135.0,1647376986.2628543,508.463134765625,1647376986.262897,93289.3203125,1647376986.2629406,0.0010000000474974513,1647376986.2629876,136788.0,4219.97021484375,1647375702.391236,0.005106300115585327,1647375702.391311,0.004111611284315586,1647375702.3913426,85.12000274658203,1647375702.3913677,-0.12858885526657104,1647375702.3913913,160.0,1647375702.3914158,0.33471375703811646,1647375702.3914397,0.0043954490683972836,1647375702.3914618,0.0010000000474974513,1647375702.3914845,139537.0,4076.3876953125,1647375734.739866,0.0024601982440799475,1647375734.7399285,0.00045500037958845496,1647375734.7399564,57.060001373291016,1647375734.7399852,-0.08249544352293015,1647375734.7400067,159.0,1647375734.740029,9.074288368225098,1647375734.740051,10.710413932800293,1647375734.740071,0.0010000000474974513,1647375734.7400916
544,134957.0,3905.640869140625,1647375905.8672168,0.0014544101431965828,1647375905.8672802,0.003447895869612694,1647375905.8673072,97.76000213623047,1647375905.8673296,-0.15098583698272705,1647375905.8673503,162.0,1647375905.867372,0.14386671781539917,1647375905.8673935,0.001556272734887898,1647375905.8674138,0.0010000000474974513,1647375905.867434,120152.0,7313.3447265625,1647375855.6376536,0.009279292076826096,1647375855.637722,0.0032681666780263186,1647375855.6377592,72.56999969482422,1647375855.6378021,-0.11886338889598846,1647375855.637846,168.0,1647375855.6378946,7.028389930725098,1647375855.6379209,148.9884490966797,1647375855.6379418,0.0010000000474974513,1647375855.6379628,254928.0,4062.604736328125,1647376993.6662188,0.007289964705705643,1647376993.6662927,-0.0014661101158708334,1647376993.666325,208.39999389648438,1647376993.6663523,-1.4404329061508179,1647376993.666378,135.0,1647376993.6664042,508.6759338378906,1647376993.6664298,60815.98046875,1647376993.6664538,0.0010000000474974513,1647376993.6664784,136854.0,4768.17626953125,1647375702.9673564,0.006307248491793871,1647375702.9674227,0.004082667175680399,1647375702.9674528,85.12999725341797,1647375702.9674778,-0.12861289083957672,1647375702.9675133,160.0,1647375702.9675567,0.33311349153518677,1647375702.9675999,317.29046630859375,1647375702.9676483,0.0010000000474974513,1647375702.9676754,139627.0,3066.998779296875,1647375735.5176375,0.004622052889317274,1647375735.5176945,0.0020886454731225967,1647375735.517722,57.2400016784668,1647375735.5177443,-0.08265324681997299,1647375735.517766,159.0,1647375735.517788,9.047446250915527,1647375735.5178187,8.002449035644531,1647375735.517839,0.0010000000474974513,1647375735.5178592
545,135421.0,6334.42724609375,1647375912.6692204,0.009465587325394154,1647375912.669283,0.0007143327966332436,1647375912.669311,101.79000091552734,1647375912.6693337,-0.15718470513820648,1647375912.6693544,161.0,1647375912.6693764,0.14540526270866394,1647375912.6693974,0.0010919019114226103,1647375912.6694171,0.0010000000474974513,1647375912.6694376,120614.0,5139.3251953125,1647375859.5897262,0.0038948857691138983,1647375859.5897934,0.0009988172678276896,1647375859.5898225,76.58000183105469,1647375859.5898452,-0.1245209127664566,1647375859.5898662,168.0,1647375859.5899007,6.9562907218933105,1647375859.5899434,3.2885348796844482,1647375859.5899858,0.0010000000474974513,1647375859.5900273,255024.0,9272.1796875,1647376997.3205578,0.0010552833555266261,1647376997.3206282,0.0064827692694962025,1647376997.3206575,208.49000549316406,1647376997.3206823,-1.4406002759933472,1647376997.320705,135.0,1647376997.320729,494.5611267089844,1647376997.3207521,6165.94873046875,1647376997.3207738,0.0010000000474974513,1647376997.3207963,137305.0,3388.292236328125,1647375703.8749306,0.006758266128599644,1647375703.875009,0.0014604312600567937,1647375703.8750403,89.01000213623047,1647375703.875066,-0.13092714548110962,1647375703.8750896,161.0,1647375703.8751137,0.32957255840301514,1647375703.8751366,0.009690441191196442,1647375703.875159,0.0010000000474974513,1647375703.8751817,140473.0,3356.985595703125,1647375742.501293,0.0009449095232412219,1647375742.5013776,-0.0009257379570044577,1647375742.5014093,65.0,1647375742.5014331,-0.09774720668792725,1647375742.501455,158.0,1647375742.5014777,7.142106056213379,1647375742.5014992,251714.890625,1647375742.5015197,0.0010000000474974513,1647375742.5015404
546,135504.0,8944.998046875,1647375913.4060185,0.0013175965286791325,1647375913.4060812,0.004234795458614826,1647375913.406109,94.4000015258789,1647375913.4061317,-0.14981770515441895,1647375913.406153,161.0,1647375913.4061751,0.1448342204093933,1647375913.4061966,0.0005793542950414121,1647375913.4062164,0.0010000000474974513,1647375913.406237,121073.0,8455.0625,1647375863.4882233,0.006827756762504578,1647375863.4882839,0.0011656234273687005,1647375863.4883115,76.58000183105469,1647375863.488347,-0.1263570338487625,1647375863.4883964,168.0,1647375863.4884493,7.043659210205078,1647375863.4885023,23.574434280395508,1647375863.4885535,0.0010000000474974513,1647375863.4886048,256257.0,8311.767578125,1647377007.555102,0.0037490741815418005,1647377007.5551662,-0.002006281167268753,1647377007.5551946,219.97999572753906,1647377007.5552323,-1.5312095880508423,1647377007.5552733,135.0,1647377007.5553162,516.5181274414062,1647377007.555358,2903443.75,1647377007.5553842,0.0010000000474974513,1647377007.555407,137752.0,6071.7265625,1647375710.5311654,0.004911235999315977,1647375710.5312371,-2.4609412321296986e-06,1647375710.5312717,89.08000183105469,1647375710.5312965,-0.13208934664726257,1647375710.531338,160.0,1647375710.531386,0.31143444776535034,1647375710.5314336,9.208739280700684,1647375710.531465,0.0010000000474974513,1647375710.5314896,141315.0,4142.9072265625,1647375749.60227,0.0010819326853379607,1647375749.6023486,0.0009452757658436894,1647375749.6023786,72.70999908447266,1647375749.6024017,-0.11499123275279999,1647375749.6024232,158.0,1647375749.6024454,9.823680877685547,1647375749.6024666,172.87783813476562,1647375749.602633,0.0010000000474974513,1647375749.6026566
547,135579.0,9658.8408203125,1647375914.06901,0.0033024076838046312,1647375914.0690746,0.00014262943295761943,1647375914.0691142,86.83000183105469,1647375914.0691586,-0.14067985117435455,1647375914.0692024,161.0,1647375914.069242,0.14574432373046875,1647375914.0692673,0.00346186151728034,1647375914.0692976,0.0010000000474974513,1647375914.0693192,121148.0,4799.728515625,1647375864.0851457,8.982553845271468e-05,1647375864.0852141,0.001094157574698329,1647375864.085245,72.80999755859375,1647375864.085268,-0.11153054237365723,1647375864.085289,167.0,1647375864.085316,6.976512432098389,1647375864.0853372,715.9105834960938,1647375864.085357,0.0010000000474974513,1647375864.085377,256743.0,4203.5458984375,1647377008.8800023,0.008797219954431057,1647377008.8800886,0.013349097222089767,1647377008.8801203,223.75,1647377008.880145,-1.5436543226242065,1647377008.880168,135.0,1647377008.8801916,505.62060546875,1647377008.880214,358182.71875,1647377008.8802354,0.0010000000474974513,1647377008.8802576,138200.0,3908.549072265625,1647375714.2712345,0.008868023753166199,1647375714.2713048,-0.0009485816699452698,1647375714.271335,89.12999725341797,1647375714.2713597,-0.13707903027534485,1647375714.271383,160.0,1647375714.2714067,0.3050478994846344,1647375714.2714298,0.02403784543275833,1647375714.2714527,0.0010000000474974513,1647375714.2714748,141765.0,8412.240234375,1647375753.4087563,0.0067190248519182205,1647375753.4088185,0.00034882593899965286,1647375753.4088542,76.44999694824219,1647375753.4088774,-0.12993532419204712,1647375753.4089048,158.0,1647375753.4089293,6.404379367828369,1647375753.4089508,3246.3095703125,1647375753.408971,0.0010000000474974513,1647375753.4089916
548,135652.0,7116.744140625,1647375914.6753569,0.002988751046359539,1647375914.6754205,0.000265526061411947,1647375914.6754475,83.12000274658203,1647375914.6754754,-0.13620886206626892,1647375914.6755154,161.0,1647375914.675569,0.1449158489704132,1647375914.6756136,0.05554215610027313,1647375914.675645,0.0010000000474974513,1647375914.675668,121226.0,3411.58203125,1647375864.7219105,0.0026505826972424984,1647375864.7219799,0.00026939870440401137,1647375864.7220159,72.8499984741211,1647375864.7220385,-0.11174549162387848,1647375864.7220592,167.0,1647375864.7220807,7.109273910522461,1647375864.722102,4.105173110961914,1647375864.722122,0.0010000000474974513,1647375864.7221422,257575.0,9018.57421875,1647377018.6096084,0.008645259775221348,1647377018.6096728,0.004834288731217384,1647377018.6097019,229.80999755859375,1647377018.6097257,-1.565359115600586,1647377018.6097484,135.0,1647377018.6097765,541.807861328125,1647377018.6098177,998601.0,1647377018.6098602,0.0010000000474974513,1647377018.6099038,138644.0,3793.286376953125,1647375715.135621,0.008503288961946964,1647375715.1356914,0.0007870405097492039,1647375715.1357234,85.25,1647375715.1357484,-0.13339115679264069,1647375715.135771,160.0,1647375715.1357946,0.3048592507839203,1647375715.1358175,0.5715509057044983,1647375715.135839,0.0010000000474974513,1647375715.135861,141836.0,7319.2236328125,1647375754.0155895,0.0008956983219832182,1647375754.0156872,0.0006326730363070965,1647375754.015744,72.62999725341797,1647375754.0157847,-0.12276215851306915,1647375754.0158193,158.0,1647375754.015854,8.695786476135254,1647375754.0158875,34.510555267333984,1647375754.0159197,0.0010000000474974513,1647375754.0159528
549,135723.0,5726.826171875,1647375915.2457871,0.005816163029521704,1647375915.245851,0.00017717090668156743,1647375915.2458794,83.2300033569336,1647375915.2459023,-0.1363959163427353,1647375915.2459233,161.0,1647375915.245945,0.14617903530597687,1647375915.2459662,0.0024227893445640802,1647375915.2459862,0.0010000000474974513,1647375915.2460065,121682.0,6642.23388671875,1647375865.750929,0.0023845175746828318,1647375865.7509985,0.00027755272458307445,1647375865.7510278,69.0199966430664,1647375865.7510502,-0.10679303854703903,1647375865.751071,168.0,1647375865.751093,7.031773567199707,1647375865.7511137,4.537847518920898,1647375865.7511337,0.0010000000474974513,1647375865.7511537,257723.0,6164.76220703125,1647377019.6588233,0.0023739843163639307,1647377019.6588874,0.002710584085434675,1647377019.6589167,218.9199981689453,1647377019.6589406,-1.4634363651275635,1647377019.6589625,135.0,1647377019.6589854,531.09130859375,1647377019.6590083,229218.359375,1647377019.6590507,0.0010000000474974513,1647377019.6590917,139096.0,4961.79931640625,1647375718.941382,0.004365145228803158,1647375718.9414487,0.004943720996379852,1647375718.9414802,77.61000061035156,1647375718.9415076,-0.10931716114282608,1647375718.941534,160.0,1647375718.9415605,0.3000050485134125,1647375718.9415865,0.0033280695788562298,1647375718.9416108,0.0010000000474974513,1647375718.9416356,141901.0,7885.8486328125,1647375754.5897267,0.007630155421793461,1647375754.5898101,0.0006335805519483984,1647375754.5898416,72.61000061035156,1647375754.5898652,-0.12271025031805038,1647375754.5898871,158.0,1647375754.5899096,8.794501304626465,1647375754.589931,24.776723861694336,1647375754.5899515,0.0010000000474974513,1647375754.5899723
