,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
189,6390.4775390625,1647392556.4136462,0.007975546643137932,1647392556.4137478,0.002967804903164506,1647392556.413805,47.25,1647392556.413858,-0.03400925174355507,1647392556.4139092,2594.0,1647392556.4139612,,,,,,
299,9033.9482421875,1647392556.4592214,0.0048576886765658855,1647392556.4593103,0.0009243250824511051,1647392556.4593687,37.375,1647392556.459423,-0.10072112828493118,1647392556.4594715,2523.0,1647392556.459523,,,,,,
446,4169.0888671875,1647392556.5174084,0.0021986854262650013,1647392556.5174909,0.0007017611060291529,1647392556.5175312,37.16666793823242,1647392556.5175667,-0.08412574976682663,1647392556.5176005,2522.0,1647392556.5176363,,,,,,
560,3707.4853515625,1647392556.563591,0.00957063864916563,1647392556.5636747,0.0010781249729916453,1647392556.563729,35.0,1647392556.563775,-0.07038369029760361,1647392556.5638173,2513.0,1647392556.5638669,,,,,,
657,8203.4736328125,1647392556.6040905,0.008568915538489819,1647392556.604188,0.0007793322438374162,1647392556.6042476,32.849998474121094,1647392556.6042929,-0.07181645184755325,1647392556.6043298,2494.0,1647392556.604374,,,,,,
907,3328.002197265625,1647392556.7039042,0.003933659754693508,1647392556.7040045,0.0025450263638049364,1647392556.7040634,37.79166793823242,1647392556.704117,-0.37243717908859253,1647392556.704169,2497.0,1647392556.7042217,,,,,,
1129,3788.435302734375,1647392556.7927032,0.0026866463012993336,1647392556.7928028,0.0034429668448865414,1647392556.7928624,40.32143020629883,1647392556.7929242,-0.3248876929283142,1647392556.792977,2498.0,1647392556.793039,,,,,,
1242,3141.3271484375,1647392556.839277,0.00851583294570446,1647392556.839361,0.003798924619331956,1647392556.8394186,38.8125,1647392556.8394773,-0.40734776854515076,1647392556.839529,2491.0,1647392556.8395817,,,,,,
1346,6057.92626953125,1647392556.8823402,0.0041418918408453465,1647392556.8824306,0.0020827671978622675,1647392556.8824887,37.38888931274414,1647392556.8825421,-0.3669230043888092,1647392556.8825982,2485.0,1647392556.882651,,,,,,
1460,4261.67626953125,1647392556.9468932,0.00843742024153471,1647392556.9469845,0.0006530310492962599,1647392556.9470518,36.5,1647392556.947105,-1.1687182188034058,1647392556.9471557,2408.0,1647392556.9472086,,,,,,
1538,7479.93603515625,1647392556.98152,0.0027309139259159565,1647392556.9815936,0.0022856586147099733,1647392556.9816468,34.95454406738281,1647392556.9816973,-1.2178477048873901,1647392556.9817438,2405.0,1647392556.9817939,,,,,,
1767,6390.52880859375,1647392557.1288338,0.0022249994799494743,1647392557.1289392,0.00027728432905860245,1647392557.1289976,36.8125,1647392557.1290517,-1.1198163032531738,1647392557.1291022,2271.0,1647392557.1291559,,,,,,
1879,8192.8798828125,1647392557.181187,0.0081184608861804,1647392557.1812932,0.002119179582223296,1647392557.181343,36.13461685180664,1647392557.181394,-1.0637564659118652,1647392557.181444,2235.0,1647392557.1814966,,,,,,
2045,3390.079345703125,1647392557.2470376,0.001748205628246069,1647392557.2471263,0.003366028657183051,1647392557.2471821,36.51785659790039,1647392557.2472336,-0.992251992225647,1647392557.2472827,2255.0,1647392557.2473288,,,,,,
2154,8913.1865234375,1647392557.291046,0.0032043331302702427,1647392557.2911365,0.0009427221957594156,1647392557.2911925,35.900001525878906,1647392557.2912374,-0.9277872443199158,1647392557.29128,2265.0,1647392557.2913313,,,,,,
2298,7679.9287109375,1647392557.3485947,0.003968187607824802,1647392557.3486922,0.00021332055621314794,1647392557.3487504,35.90625,1647392557.3488007,-0.8718824982643127,1647392557.3488386,2278.0,1647392557.348881,,,,,,
2417,6403.12744140625,1647392557.395768,0.009503079578280449,1647392557.395856,0.007905552163720131,1647392557.3959124,35.54411697387695,1647392557.3959599,-0.8230915665626526,1647392557.3960097,2289.0,1647392557.396063,,,,,,
2540,5938.9267578125,1647392557.4450598,0.009873607195913792,1647392557.445156,0.0017048120498657227,1647392557.4452143,35.27777862548828,1647392557.4452682,-0.7798370122909546,1647392557.44532,2299.0,1647392557.4453733,,,,,,
2642,8739.7177734375,1647392557.4860168,0.007522678002715111,1647392557.4861143,0.0003105360083281994,1647392557.4861727,34.76315689086914,1647392557.4862313,-0.7401060461997986,1647392557.4862835,2305.0,1647392557.486336,,,,,,
2783,6679.5498046875,1647392557.541167,0.007653392385691404,1647392557.5412548,0.0028940695337951183,1647392557.5413132,34.787498474121094,1647392557.5413673,-0.9960675239562988,1647392557.541419,2318.0,1647392557.5414736,,,,,,
2932,6174.47705078125,1647392557.5997548,0.008822250179946423,1647392557.5998373,0.0030235107988119125,1647392557.5998785,34.904762268066406,1647392557.5999148,-0.9556310772895813,1647392557.5999484,2328.0,1647392557.5999832,,,,,,
3062,6563.572265625,1647392557.6541543,0.005919739603996277,1647392557.6542485,0.0014577721012756228,1647392557.654307,34.79545593261719,1647392557.65436,-0.913615345954895,1647392557.6544125,2331.0,1647392557.6544747,,,,,,
3240,3563.017822265625,1647392557.7221048,0.008518661372363567,1647392557.722206,0.0006858402630314231,1647392557.7222652,35.21739196777344,1647392557.7223208,-1.709688425064087,1647392557.722373,2345.0,1647392557.7224333,,,,,,
3455,5104.099609375,1647392557.8085535,0.006058441940695047,1647392557.808649,0.00084333261474967,1647392557.8087082,35.98958206176758,1647392557.808762,-1.6394281387329102,1647392557.8088145,2353.0,1647392557.808869,,,,,,
3553,4307.87841796875,1647392557.8497214,0.008138777688145638,1647392557.8498092,0.0004943363601341844,1647392557.8498626,35.529998779296875,1647392557.8499136,-1.575973391532898,1647392557.8499634,2354.0,1647392557.8500168,,,,,,
3667,2851.728515625,1647392557.8967915,0.0013875543372705579,1647392557.896882,0.001073951250873506,1647392557.8969574,34.779998779296875,1647392557.89701,-1.576021432876587,1647392557.8970563,2356.0,1647392557.8971126,,,,,,
3820,4787.74072265625,1647392557.9749877,0.008671465329825878,1647392557.9750886,0.0004489723651204258,1647392557.9751482,35.209999084472656,1647392557.9752035,-1.5711365938186646,1647392557.9752576,2344.0,1647392557.9753106,,,,,,
3952,8406.0908203125,1647392558.0396695,0.008196084760129452,1647392558.0397682,0.008760610595345497,1647392558.0398262,35.060001373291016,1647392558.0398786,-1.5793051719665527,1647392558.0399277,2326.0,1647392558.0399742,,,,,,
4221,3812.149658203125,1647392558.1793878,0.001950593083165586,1647392558.1794984,0.0022678079549223185,1647392558.1795592,36.61000061035156,1647392558.1849997,-1.5799049139022827,1647392558.1850848,2298.0,1647392558.1851466,,,,,,
4405,3251.97119140625,1647392558.2611158,0.004958883859217167,1647392558.2612195,0.0004849418473895639,1647392558.2612765,37.47999954223633,1647392558.2613177,-1.585769772529602,1647392558.2613647,2293.0,1647392558.2614143,,,,,,
4551,6711.2724609375,1647392558.3205976,0.00826657097786665,1647392558.3206842,0.004752598702907562,1647392558.3207378,36.439998626708984,1647392558.3207886,-1.5113734006881714,1647392558.3208396,2298.0,1647392558.3208919,,,,,,
4722,5501.08154296875,1647392558.4001467,0.004695471376180649,1647392558.4002457,0.004038252402096987,1647392558.400306,35.93000030517578,1647392558.40036,-1.5476281642913818,1647392558.4004114,2292.0,1647392558.4004645,,,,,,
4847,8034.14892578125,1647392558.4749713,0.009784053079783916,1647392558.475073,0.0006123048369772732,1647392558.475133,36.04999923706055,1647392558.4751873,-1.508878469467163,1647392558.47524,2273.0,1647392558.4752948,,,,,,
4971,5755.4697265625,1647392558.5418346,0.004257305059581995,1647392558.5419312,0.0023531257174909115,1647392558.541989,36.25,1647392558.542044,-1.5357654094696045,1647392558.5420966,2258.0,1647392558.5421507,,,,,,
5106,5305.13525390625,1647392558.6421182,0.008224163204431534,1647392558.6422126,0.001194273354485631,1647392558.642271,36.459999084472656,1647392558.6423285,-1.2025303840637207,1647392558.6423814,2231.0,1647392558.6424341,,,,,,
5250,4076.55517578125,1647392558.7221339,0.0008897646912373602,1647392558.7224007,0.0028538762126117945,1647392558.7224584,37.119998931884766,1647392558.7225106,-1.1358221769332886,1647392558.7225604,2206.0,1647392558.7226124,,,,,,
5371,8771.2265625,1647392558.8296494,0.00343199260532856,1647392558.8297305,0.0005612223758362234,1647392558.829771,36.040000915527344,1647392558.8298056,-1.1362158060073853,1647392558.829838,2166.0,1647392558.8298724,,,,,,
5510,7085.4619140625,1647392558.926793,0.004915300756692886,1647392558.9268856,0.0037956549786031246,1647392558.926947,36.310001373291016,1647392558.9270003,-4.901348114013672,1647392558.9270496,2141.0,1647392558.9271007,,,,,,
5659,9362.5146484375,1647392559.0642498,0.007113861385732889,1647392559.0643487,0.0021592031698673964,1647392559.0643933,36.13999938964844,1647392559.06443,-4.902076244354248,1647392559.064464,2083.0,1647392559.0644991,,,,,,
5795,6724.25048828125,1647392559.1658792,0.000265090522589162,1647392559.1659806,0.0008479169337078929,1647392559.1660328,36.40999984741211,1647392559.1660793,-4.902515411376953,1647392559.1661296,2050.0,1647392559.166177,,,,,,
