SpringK, Zeta
5.121090332031250000e+03,6.227944046258926392e-03
7.029981445312500000e+03,6.000922061502933502e-03
7.029795410156250000e+03,7.037410978227853775e-03
4.311003417968750000e+03,6.565506104379892349e-03
6.361211425781250000e+03,2.176259877160191536e-03
