,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel
0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0
1,1.0,0.5010290000000015,0.25051450000000075,0.023998245664304436,5.759578959433065,0.023998277214922027,5.759586531581287
2,2.0,0.5003450661735908,0.2501725330867954,0.04799648868671234,5.7595783253778965,0.0,-5.759586531581287
3,3.0,0.4986045413606264,0.2493022706803132,0.07199476590163437,5.759586531581287,0.023998277214922023,5.759586531581286
4,4.0,0.4969961869347997,0.24849809346739987,0.09599301338512663,5.759579396038142,-3.469446951953614e-18,-5.759586531581287
5,5.0,0.4943218748890422,0.2471609374445211,0.11999129060004864,5.759586531581287,0.023998277214922023,5.759586531581287
6,6.0,0.4917590984322327,0.24587954921611635,0.14398954215150955,5.759580372350613,-3.469446951953614e-18,-5.759586531581287
7,7.0,0.4881125908349306,0.2440562954174653,0.1679878193664316,5.759586531581287,0.023998277214922023,5.759586531581286
8,8.0,0.4845467204142689,0.24227336020713444,0.1919860612554572,5.759578053366146,-6.938893903907228e-18,-5.759586531581287
9,9.0,0.4801133085808685,0.24005665429043424,0.21598433847037923,5.759586531581287,0.023998181538380885,5.759563569211414
10,10.0,0.4758309232784471,0.23791546163922356,0.23998257841378137,5.759577586416515,-9.567654114459034e-08,-5.759586531581287
11,11.0,0.470698333997672,0.235349166998836,0.2639808556287034,5.759586531581287,0.02399808336274689,5.75956296942913
12,12.0,0.4657661474814899,0.23288307374074496,0.2879791063084611,5.75958016314185,-1.938521751350397e-07,-5.759586531581287
13,13.0,0.45999908384812654,0.22999954192406327,0.31154110571536264,5.6548798576563835,0.023998083362746888,5.759586531581286
14,14.0,0.4543342819752944,0.2271671409876472,0.3327468453199812,5.089377505108446,-1.9385217513850922e-07,-5.759586531581287
15,15.0,0.44792043846565566,0.22396021923282783,0.3518320383478129,4.580446326679623,0.023998083362746888,5.759586531581287
16,16.0,0.441669923381084,0.220834961690542,0.3690086743205615,4.122392633459667,-1.9385217513850922e-07,-5.759586531581287
17,17.0,0.43467304926407874,0.21733652463203937,0.3844677235857707,3.7101718236502137,0.023998083362746888,5.759586531581287
18,18.0,0.4281270074774338,0.2140635037387169,0.39838079439897867,3.339136995169895,-1.9385217513850922e-07,-5.759586531581287
19,19.0,0.4208371228876908,0.2104185614438454,0.4109025925189107,3.0052315487836836,0.0239979867025322,5.759563333129761
20,20.0,0.20693013734597,0.20693013734597,0.4221722108268495,2.7047083939053147,-2.905123898319651e-07,-5.759586531581287
21,21.0,0.20365021689639143,0.20365021689639143,0.4323148673039944,2.4342375545147834,0.0239979867025322,5.759586531581287
22,22.0,0.20100267243563708,0.20100267243563708,0.4414432581334249,2.1908137990633056,-2.905123898319651e-07,-5.759586531581287
23,23.0,0.19849133555619744,0.19849133555619744,0.4496588098799123,1.9717324191569745,0.0239979867025322,5.759586531581287
24,24.0,0.19655233248155177,0.19655233248155177,0.4570528064517509,1.7745591772412763,-2.905123898319651e-07,-5.759586531581287
25,25.0,0.19474111584756532,0.19474111584756532,0.46370740336640576,1.5971032595171488,0.023997986702532195,5.759586531581286
26,26.0,0.19349176072342875,0.19349176072342875,0.46969654058959515,1.4373929335654336,-2.905123898354345e-07,-5.759586531581287
27,27.0,0.19236931289618117,0.19236931289618117,0.4750867640904655,1.2936536402088892,0.023997986702532195,5.759586531581287
28,28.0,0.1918078199775012,0.1918078199775012,0.4799379660793185,1.1642884773247293,-2.905061690858246e-07,-5.759586530088307
29,29.0,0.19115354356487013,0.19115354356487013,0.4843040470312165,1.0478594284555278,0.023997986708752944,5.759586531581287
30,30.0,0.19106036376942173,0.19106036376942173,0.4882335198879248,0.9430734856099744,-2.905061690858246e-07,-5.759586531581287
31,31.0,0.19065764219970888,0.19065764219970888,0.49177004545896214,0.8487661370489766,-0.023998567721091116,-5.759586531581287
32,32.0,0.19019258051604077,0.19019258051604077,0.4949529184728959,0.763889523344079,-0.047996844936013146,-5.759586531581287
33,33.0,0.18965319529590133,0.18965319529590133,0.4978175041854361,0.6875005710096718,-0.07199512215093518,-5.759586531581287
34,34.0,0.1889841188138172,0.1889841188138172,0.5003956313267224,0.6187505139087045,-0.0959933993658572,-5.759586531581287
35,35.0,0.1880491511882555,0.1880491511882555,0.50271594575388,0.5568754625178345,-0.11999167658077924,-5.759586531581287
36,36.0,0.18685647738403452,0.18685647738403452,0.5048041825116524,0.5011768218653758,-0.1439899537957013,-5.759586531581287
37,37.0,0.1854862806228224,0.1854862806228224,0.4808059052967304,-5.759586531581286,-0.16798823101062332,-5.759586531581287
38,38.0,0.18483407821813763,0.18483407821813763,0.4850851923268872,1.0270288872376439,-0.1439899537957013,5.759586531581286
39,39.0,0.18445593646216055,0.18445593646216055,0.4889365506540284,0.9243259985138784,-0.16798823101062332,-5.759586531581284
40,40.0,0.18373534480095413,0.18373534480095413,0.4924027731484554,0.831893398662491,-0.1439899537957013,5.759586531581287
41,41.0,0.18358797698386076,0.18358797698386076,0.4955223733934397,0.7487040587962409,-0.16798823101062332,-5.759586531581287
42,42.0,0.1830970677625967,0.1830970677625967,0.49833137808715217,0.6741611264909911,-0.1439900432121593,5.759565071631368
43,43.0,0.18309494316886843,0.18309494316886843,0.5008581178382668,0.6064175402675195,-0.1679883204270813,-5.759586531581284
44,44.0,0.182747962610834,0.182747962610834,0.4768598406233448,-5.759586531581286,-0.1439900432121593,5.759586531581287
45,45.0,0.1832993917516524,0.1832993917516524,0.48153373412084016,1.121734439398896,-0.11999176599723727,5.759586531581287
