,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel
0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0
1,0.01,-0.0059953360436809265,6.736717224121094,-0.002729047532060555,-0.07227662820605553,0.004673671722412109,0.06736717224121094,0.01,-0.0030742034976074346,10.0,-0.0030834261081002564,-0.10771448581002568,0.005,0.1,0.01,-0.0032407429364503296,10.0,-0.00325046516525968,-0.12441839152596802,0.005,0.1,0.01,-0.0031967872138414337,9.999998092651367,-0.0032063763523470967,-0.12000951023470972,0.0049999998092651364,0.09999998092651367,0.01,-0.003194690895581968,10.0,-0.003204274968268713,-0.11979937182687136,0.005,0.1
2,0.02,-0.005017736248757601,-7.664501667022706,-0.002641930835647402,0.008711669641315228,0.004580893278121948,-0.00927784442901611,0.02,-0.001602911447853885,10.0,-0.00482316054659234,-0.17397344384920832,0.007,0.2,0.02,-0.001783223862314232,10.0,-0.005365720601703522,-0.21152554364438436,0.007,0.2,0.02,-0.0017346750370878967,10.0,-0.0052196361910307595,-0.20132598386836612,0.006999999618530274,0.1999999809265137,0.02,-0.001735264432054994,10.0,-0.005221410676053476,-0.2017135707784763,0.007,0.2
3,0.03,-0.0032849001096170536,6.724365234375,-0.0030138008772662346,-0.037187004161883176,0.005160551357269287,0.05796580791473389,0.03,-0.0010908886350152543,10.0,-0.0065649678055218,-0.174180725892946,0.008,0.30000000000000004,0.03,-0.0012838186209032495,10.0,-0.007726020460595757,-0.23602998588922328,0.008,0.30000000000000004,0.03,-0.0012305804411008982,10.0,-0.0074056321528703055,-0.21859959618395464,0.008,0.2999999809265137,0.03,-0.0012329346540957084,10.0,-0.007419800748347971,-0.2198390072294496,0.008,0.30000000000000004
4,0.04,-0.002031573322800203,-8.682071685791014,-0.0023743871752012,0.06394137020650345,0.004872002267837525,-0.028854908943176254,0.04,-0.001130218471625728,0.0,-0.00680165476224363,-0.02366869567218302,0.008,0.30000000000000004,0.04,-0.001459990863902744,0.0,-0.008786225018966714,0.0,0.008,0.30000000000000004,0.04,-0.0013663479186934039,0.0,-0.008222680729128897,0.0,0.008,0.2999999809265137,0.04,-0.0013713526963242447,0.0,-0.008252800526479306,0.0,0.008,0.30000000000000004
5,0.05,-0.0016239337383935275,6.626640319824219,-0.0023017625291308864,0.007262464607031379,0.005246117210388184,0.03741149425506593,0.05,-0.0009067392558741912,0.0,-0.0054567568418508825,0.13448979203927475,0.008,0.30000000000000004,0.05,-0.0011949197411756627,0.0,-0.007191027002395138,0.1595198016571575,0.008,0.30000000000000004,0.05,-0.0010987078294105355,0.0,-0.0066120228766303486,0.16106578524985488,0.008,0.2999999809265137,0.05,-0.0011006986909037183,0.0,-0.006624004721858577,0.1628795804620727,0.008,0.30000000000000004
6,0.06,-0.0015121042402780186,3.8247976303100586,-0.0025821442025937527,-0.02803816734628668,0.006002711915969849,0.07565947055816653,0.06,-0.0005067905972267948,0.0,-0.003049865814110852,0.24068910277400307,0.008,0.30000000000000004,0.06,-0.0007442684134129929,0.0,-0.004479007311919392,0.27120196904757465,0.008,0.30000000000000004,0.06,-0.0006497192463754344,0.0,-0.0039100099275038505,0.27020129491264977,0.008,0.2999999809265137,0.06,-0.0006449818950112571,0.0,-0.0038815010441777455,0.27425036776808326,0.008,0.30000000000000004
7,0.07,-0.0010276707970874282,-9.584091186523438,-0.001954270826002172,0.06278733765915812,0.005800897502899171,-0.020181441307067848,0.07,-8.242189843829624e-05,0.0,-0.0004960149848016668,0.2553850829309185,0.008,0.30000000000000004,0.07,-0.00024141081664157544,0.0,-0.0014528102945490012,0.302619701737039,0.008,0.30000000000000004,0.07,-0.00016220781470739908,0.0,-0.0009761665047831277,0.2933843422720723,0.008,0.2999999809265137,0.07,-0.0001483156191620839,0.0,-0.0008925633961174208,0.29889376480603247,0.008,0.30000000000000004
8,0.08,-0.0009361990196321628,6.635318756103516,-0.002068001830042121,-0.011373100403994849,0.006262614965438844,0.046171746253967305,0.08,0.0002064010350670167,0.0,0.0012421214290333064,0.1738136413834973,0.008,0.30000000000000004,0.08,0.0001658622490150646,0.0,0.0009981590145726588,0.245096930912166,0.008,0.30000000000000004,0.08,0.0002098920193502684,0.0,0.0012631300118346156,0.22392965166177436,0.008,0.2999999809265137,0.08,0.00023223831145979443,0.0,0.0013976101583650427,0.2290173554482464,0.008,0.30000000000000004
9,0.08999999999999998,-0.0006851094831901825,-7.523801803588867,-0.0016636369148508767,0.04043649151912439,0.005971952247619631,-0.029066271781921366,0.08999999999999998,0.00033221300147362573,0.0,0.0019992578428682795,0.0757136413834973,0.008,0.30000000000000004,0.08999999999999998,0.0004101243475730008,0.0,0.0024681283236943187,0.14699693091216595,0.008,0.30000000000000004,0.08999999999999998,0.000418980865581314,0.0,0.00252142652845236,0.12582965166177434,0.008,0.2999999809265137,0.08999999999999998,0.00044978127498296886,0.0,0.002706783712847506,0.13091735544824634,0.008,0.30000000000000004
