,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
99,6759.6875,1647384894.0598695,0.007869280874729156,1647384894.0599303,0.010187828913331032,1647384894.0599613,24.75,1647384894.059986,-0.028240250423550606,1647384894.0600092,4370.0,1647384894.0600333,,,,,,
181,8076.98974609375,1647384894.0780532,0.003534215036779642,1647384894.078115,0.002450787927955389,1647384894.0781481,22.625,1647384894.0781739,-0.03093537501990795,1647384894.0781977,4426.0,1647384894.0782225,,,,,,
325,2889.659423828125,1647384894.1088579,0.0019247039454057813,1647384894.1089344,0.0015246602706611156,1647384894.1089714,27.08333396911621,1647384894.1089993,-0.052656665444374084,1647384894.1090245,4534.0,1647384894.1090505,,,,,,
422,8441.5966796875,1647384894.1308944,0.006761796772480011,1647384894.1309679,0.00041238818084821105,1647384894.1310096,26.375,1647384894.1310387,-0.0464499369263649,1647384894.1310651,4502.0,1647384894.1310923,,,,,,
564,3627.908447265625,1647384894.1624563,0.0065609184093773365,1647384894.1625211,0.0003210784634575248,1647384894.1625547,28.200000762939453,1647384894.1625817,-0.05329884961247444,1647384894.162607,4502.0,1647384894.1626337,,,,,,
680,2903.296630859375,1647384894.1888008,0.006026132497936487,1647384894.1888695,0.000435827299952507,1647384894.188931,28.33333396911621,1647384894.1889777,-0.05676308274269104,1647384894.1890066,4484.0,1647384894.189034,,,,,,
775,5247.85546875,1647384894.2107768,0.008488340303301811,1647384894.2108505,0.005430914461612701,1647384894.210896,27.678571701049805,1647384894.210926,-0.050363749265670776,1647384894.210952,4464.0,1647384894.2109787,,,,,,
896,4339.46240234375,1647384894.2380338,0.009245451539754868,1647384894.238099,0.00038982517435215414,1647384894.238134,28.0,1647384894.2381623,-0.04873646795749664,1647384894.238187,4461.0,1647384894.2382133,,,,,,
1008,4514.22705078125,1647384894.2635448,0.005421680863946676,1647384894.263614,0.0005695990403182805,1647384894.2636662,28.0,1647384894.263711,-0.04931486025452614,1647384894.26374,4452.0,1647384894.2637677,,,,,,
1095,6879.8984375,1647384894.2836514,0.009126310236752033,1647384894.2837214,0.002875247038900852,1647384894.2837577,27.375,1647384894.283785,-0.047810375690460205,1647384894.2838109,4442.0,1647384894.2838366,,,,,,
1264,2907.69580078125,1647384894.3214834,0.008411763235926628,1647384894.3215356,0.005682675167918205,1647384894.3215673,28.727272033691406,1647384894.3215935,-0.05133933946490288,1647384894.3216188,4446.0,1647384894.3216445,,,,,,
1382,5883.044921875,1647384894.3481646,0.003568649757653475,1647384894.348217,0.0029060724191367626,1647384894.3482547,28.79166603088379,1647384894.348288,-0.050958938896656036,1647384894.3483155,4443.0,1647384894.3483455,,,,,,
1473,6830.81103515625,1647384894.3691719,0.007439746521413326,1647384894.3692255,0.0007770601660013199,1647384894.3692586,28.326923370361328,1647384894.3692927,-0.04773159697651863,1647384894.3693216,4436.0,1647384894.369348,,,,,,
1643,4363.8232421875,1647384894.4061484,0.0026469766162335873,1647384894.406199,0.002271371427923441,1647384894.4062304,29.339284896850586,1647384894.4062574,-0.050501517951488495,1647384894.4062822,4452.0,1647384894.4063087,,,,,,
1784,8161.3994140625,1647384894.4399133,0.007790947332978249,1647384894.4399927,0.0022407809738069773,1647384894.4400563,29.733333587646484,1647384894.4401152,-0.05090700089931488,1647384894.4401696,4430.0,1647384894.4402268,,,,,,
1917,5446.1708984375,1647384894.4870548,0.005365442484617233,1647384894.487114,0.0058708274737000465,1647384894.487149,29.953125,1647384894.4871774,-0.05065574869513512,1647384894.487204,4261.0,1647384894.4872313,,,,,,
2033,8754.0478515625,1647384894.5128288,0.0030368519946932793,1647384894.5128858,0.0013478241162374616,1647384894.5129325,29.897058486938477,1647384894.512962,-0.05074755847454071,1647384894.5129876,4274.0,1647384894.5130143,,,,,,
2171,5810.64013671875,1647384894.5438926,0.00919595081359148,1647384894.5439465,0.0024037924595177174,1647384894.5439794,30.15277862548828,1647384894.544006,-0.051476556807756424,1647384894.544031,4284.0,1647384894.544057,,,,,,
2326,6850.48291015625,1647384894.5797079,0.001927280449308455,1647384894.579764,0.0008713707793504,1647384894.579815,30.605262756347656,1647384894.5798714,-0.05335698649287224,1647384894.5799057,4287.0,1647384894.5799341,,,,,,
2451,4310.23681640625,1647384894.6082804,0.00976346805691719,1647384894.6083345,0.0055635892786085606,1647384894.6083746,30.637500762939453,1647384894.608429,-0.05315360054373741,1647384894.6084764,4291.0,1647384894.6085074,,,,,,
2589,4603.03173828125,1647384894.6407206,0.0015028229681774974,1647384894.6407893,0.0019384819315746427,1647384894.640848,30.821428298950195,1647384894.6409142,-0.052994512021541595,1647384894.6409738,4290.0,1647384894.6410146,,,,,,
2733,5507.85205078125,1647384894.67397,0.0054807462729513645,1647384894.6740198,0.010771200992166996,1647384894.6740518,31.05681800842285,1647384894.6741033,-0.05279373750090599,1647384894.674158,4291.0,1647384894.6741934,,,,,,
2882,3494.382568359375,1647384894.7075956,0.009018558077514172,1647384894.7076457,0.0013184909475967288,1647384894.7076774,31.326086044311523,1647384894.7077043,-0.05377644672989845,1647384894.7077293,4298.0,1647384894.7077553,,,,,,
3061,3040.82177734375,1647384894.7452767,0.002627455396577716,1647384894.7453294,0.0017894329503178596,1647384894.7453613,31.88541603088379,1647384894.745388,-0.05617472901940346,1647384894.745413,4322.0,1647384894.745439,,,,,,
3181,5418.30126953125,1647384894.7717044,0.006994297262281179,1647384894.7717571,0.0017432202585041523,1647384894.7717888,31.809999465942383,1647384894.7718177,-0.05590242147445679,1647384894.7718492,4330.0,1647384894.7718763,,,,,,
3352,4282.04833984375,1647384894.8077784,0.00020236254204064608,1647384894.8078303,0.014072434045374393,1647384894.8078656,32.529998779296875,1647384894.8078926,-0.05678743124008179,1647384894.8079169,4349.0,1647384894.8079429,,,,,,
3474,8173.45361328125,1647384894.8344996,0.002922981744632125,1647384894.8345494,0.004901235457509756,1647384894.834581,32.93000030517578,1647384894.8346078,-0.05582118034362793,1647384894.834633,4357.0,1647384894.834659,,,,,,
