,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
99,6759.6875,1647374852.0271788,0.007869280874729156,1647374852.0272608,0.010187828913331032,1647374852.0273018,24.75,1647374852.0273378,-0.0848267525434494,1647374852.027372,2923.0,1647374852.0274074,,,,,,
181,8076.98974609375,1647374852.056534,0.003534215036779642,1647374852.056611,0.002450787927955389,1647374852.0566518,22.625,1647374852.056688,-0.09531649947166443,1647374852.0567214,2827.0,1647374852.0567567,,,,,,
325,2889.659423828125,1647374852.1456568,0.0019247039454057813,1647374852.1457372,0.0015246602706611156,1647374852.1457767,27.08333396911621,1647374852.1458156,-0.14264407753944397,1647374852.145848,2256.0,1647374852.1458824,,,,,,
422,8441.5966796875,1647374852.194113,0.006761796772480011,1647374852.1941884,0.00041238818084821105,1647374852.1942315,26.375,1647374852.1942706,-0.1130291223526001,1647374852.1943078,2079.0,1647374852.1943445,,,,,,
564,3627.908447265625,1647374852.239081,0.0065609184093773365,1647374852.239169,0.0003210784634575248,1647374852.239211,28.200000762939453,1647374852.2392468,-0.10208489745855331,1647374852.2392817,2274.0,1647374852.2393174,,,,,,
680,2903.296630859375,1647374852.27598,0.006026132497936487,1647374852.2760463,0.000435827299952507,1647374852.276087,28.33333396911621,1647374852.2761223,-0.09135766327381134,1647374852.2761567,2387.0,1647374852.276192,,,,,,
775,5247.85546875,1647374852.306666,0.008488340303301811,1647374852.3067536,0.005430914461612701,1647374852.306796,27.678571701049805,1647374852.306832,-0.08897718042135239,1647374852.3068664,2456.0,1647374852.3069017,,,,,,
896,4339.46240234375,1647374852.3460147,0.009245451539754868,1647374852.346109,0.00038982517435215414,1647374852.3461509,28.0,1647374852.3461874,-0.10469609498977661,1647374852.3462212,2525.0,1647374852.3462572,,,,,,
1008,4514.22705078125,1647374852.3819315,0.005421680863946676,1647374852.3819966,0.0005695990403182805,1647374852.3820364,28.0,1647374852.3820717,-0.12477105855941772,1647374852.3821058,2579.0,1647374852.382141,,,,,,
1095,6879.8984375,1647374852.4159405,0.009126310236752033,1647374852.4160295,0.002875247038900852,1647374852.416088,27.375,1647374852.416142,-0.11412744969129562,1647374852.4161947,2577.0,1647374852.4162471,,,,,,
1264,2907.69580078125,1647374852.464411,0.008411763235926628,1647374852.4645107,0.005682675167918205,1647374852.4645712,28.727272033691406,1647374852.4646266,-0.11534175276756287,1647374852.4646623,2670.0,1647374852.4646897,,,,,,
1382,5883.044921875,1647374852.5022109,0.003568649757653475,1647374852.5022886,0.0029060724191367626,1647374852.5023289,28.79166603088379,1647374852.5023642,-0.10761270672082901,1647374852.502398,2704.0,1647374852.502433,,,,,,
1473,6830.81103515625,1647374852.531802,0.007439746521413326,1647374852.5318727,0.0007770601660013199,1647374852.5319157,28.326923370361328,1647374852.5319545,-0.1058872863650322,1647374852.5319917,2724.0,1647374852.5320294,,,,,,
1643,4363.8232421875,1647374852.5855985,0.0026469766162335873,1647374852.5856752,0.002271371427923441,1647374852.5857162,29.339284896850586,1647374852.585752,-0.10952207446098328,1647374852.585786,2764.0,1647374852.5858216,,,,,,
