,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
5613,5982.9921875,1647375112.2962222,0.003508116351440549,1647375112.2962716,0.0026225161273032427,1647375112.296301,34.22999954223633,1647375112.296325,-1.199529767036438,1647375112.2963471,4329.0,1647375112.2963707,,,,,,
5728,9673.796875,1647375112.3207538,0.00200165924616158,1647375112.3208048,0.0037210648879408836,1647375112.3208334,33.9900016784668,1647375112.3208568,-1.2569046020507812,1647375112.3208785,4336.0,1647375112.320909,,,,,,
5901,2942.83349609375,1647375112.3568158,0.00048605125630274415,1647375112.3568661,0.005682298447936773,1647375112.356901,34.790000915527344,1647375112.3569286,-1.2563138008117676,1647375112.356951,4348.0,1647375112.3569746,,,,,,
6052,4775.29638671875,1647375112.3926911,0.0045631458051502705,1647375112.3927443,0.002241000533103943,1647375112.3927948,35.290000915527344,1647375112.3928425,-1.255562424659729,1647375112.3928707,4345.0,1647375112.3929026,,,,,,
6133,7003.638671875,1647375112.4130003,0.0038806325756013393,1647375112.4130712,0.0029151292983442545,1647375112.4131289,34.88999938964844,1647375112.4131823,-1.2350120544433594,1647375112.413235,4340.0,1647375112.4132955,,,,,,
6264,9654.419921875,1647375112.444152,0.007255794946104288,1647375112.4442015,0.00535051804035902,1647375112.4442341,34.65999984741211,1647375112.4442809,-1.2387830018997192,1647375112.444329,4337.0,1647375112.4443603,,,,,,
6351,4706.6962890625,1647375112.4642563,0.0038708625361323357,1647375112.46431,0.0011548881884664297,1647375112.4643395,34.29999923706055,1647375112.4643636,-1.2388015985488892,1647375112.4643853,4337.0,1647375112.4644084,,,,,,
6448,9169.2119140625,1647375112.4849963,0.0022499177139252424,1647375112.4850574,0.002109925728291273,1647375112.4850883,34.4900016784668,1647375112.485113,-1.23949134349823,1647375112.4851391,4341.0,1647375112.4851637,,,,,,
6571,8138.31982421875,1647375112.5111537,0.00011608505883486941,1647375112.5112185,0.002802927978336811,1647375112.5112686,34.689998626708984,1647375112.5113037,-1.237726092338562,1647375112.5113275,4348.0,1647375112.5113516,,,,,,
6743,5412.57080078125,1647375112.5469565,0.009633037261664867,1647375112.547029,0.0022084780503064394,1647375112.547064,34.939998626708984,1647375112.547089,-1.2380341291427612,1647375112.5471117,4358.0,1647375112.547135,,,,,,
6889,3173.14208984375,1647375112.577892,0.001366289216093719,1647375112.577943,0.005167248658835888,1647375112.5779722,35.220001220703125,1647375112.5779963,-1.228118896484375,1647375112.578019,4365.0,1647375112.5780425,,,,,,
