SpringK, Zeta
5.789712402343750000e+03,5.741700995713472366e-03
3.935259765625000000e+03,3.510370152071118355e-03
5.722836425781250000e+03,5.996416788548231125e-03
5.004299316406250000e+03,3.933903761208057404e-03
5.522238281250000000e+03,6.183101329952478409e-03
