# Time, Reward, Height, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
6.200000000000000000e+01,1.861620246244784782e-01,1.861620246244784782e-01,-5.223844455046821045e-01,-3.238213582977859245e-02,-5.223844248527100831e-01,-3.238268654903273674e-02
6.300000000000000000e+01,1.861598209999839326e-01,1.861598209999839326e-01,-5.225058785140437312e-01,-2.914392224680097468e-02,-5.225058599272689452e-01,-2.914441789412944989e-02
6.400000000000000000e+01,1.861578343284982506e-01,1.861578343284982506e-01,-5.226151682224692285e-01,-2.622953002212202733e-02,-5.226151514943719878e-01,-2.622997610471689348e-02
6.500000000000000000e+01,1.861560435621510134e-01,1.861560435621510134e-01,-5.227135289600521872e-01,-2.360657701991008758e-02,-5.227135139047647261e-01,-2.360697849424386874e-02
6.600000000000000000e+01,1.861544296349460503e-01,1.861544296349460503e-01,-5.228020536238768834e-01,-2.124591931791915481e-02,-5.228020400741181239e-01,-2.124628064481828837e-02
6.700000000000000000e+01,1.861529752878988420e-01,1.861529752878988420e-01,-5.228817258213190877e-01,-1.912132738612637439e-02,-5.228817136265362375e-01,-1.912165258033660109e-02
6.800000000000000000e+01,1.861516649072395002e-01,1.861516649072395002e-01,-5.229534307990170161e-01,-1.720919464751346703e-02,-5.229534198237124620e-01,-1.720948732230187517e-02
6.900000000000000000e+01,1.861504843752073146e-01,1.861504843752073146e-01,-5.230179652789451739e-01,-1.548827518276311987e-02,-5.230179554011711307e-01,-1.548853859007235691e-02
7.000000000000000000e+01,1.861494209328563854e-01,1.861494209328563854e-01,-5.230760463108805602e-01,-1.393944766448740151e-02,-5.230760374208839325e-01,-1.393968473106443895e-02
7.100000000000000000e+01,1.861484630542358520e-01,1.861484630542358520e-01,-5.231283192396223303e-01,-1.254550289803813001e-02,-5.231283112386254652e-01,-1.254571625795719396e-02
7.200000000000000000e+01,1.861476003312267369e-01,1.861476003312267369e-01,-5.231753648754899899e-01,-1.129095260823557816e-02,-5.231753576745927781e-01,-1.129114463216027674e-02
7.300000000000000000e+01,1.861468233683659657e-01,1.861468233683659657e-01,-5.232177059477708392e-01,-1.016185734741181616e-02,-5.232176994669633929e-01,-1.016203016894490219e-02
7.400000000000000000e+01,1.861461236869294544e-01,1.861461236869294544e-01,-5.232558129128236368e-01,-9.145671612671341794e-03,-5.232558070800968908e-01,-9.145827152050015410e-03
7.500000000000000000e+01,1.861454936375800950e-01,1.861454936375800950e-01,-5.232901091813711991e-01,-8.231104451404274575e-03,-5.232901039319171055e-01,-8.231244436846198512e-03
7.600000000000000000e+01,1.861449263209511429e-01,1.861449263209511429e-01,-5.233209758230639164e-01,-7.407994006262723190e-03,-5.233209710985552432e-01,-7.408119993160909751e-03
7.700000000000000000e+01,1.861444155154798885e-01,1.861444155154798885e-01,-5.233487558005873730e-01,-6.667194605637582171e-03,-5.233487515485295560e-01,-6.667307993845739134e-03
7.800000000000000000e+01,1.861439556119435235e-01,1.861439556119435235e-01,-5.233737577803585506e-01,-6.000475145074624095e-03,-5.233737539535064931e-01,-6.000577194462231034e-03
