# Time, Reward, Height, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
0.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,-2.399824566430443576e-02,-5.759578959433064860e+00,-2.399827721492202651e-02,-5.759586531581286195e+00
2.000000000000000000e+00,5.010316838264121664e-01,2.505158419132060832e-01,-4.799649506181473402e-02,-5.759579855402471971e+00,-4.799655442984405995e-02,-5.759586531581287083e+00
3.000000000000000000e+00,5.007557955255154125e-01,2.503778977627577063e-01,-7.199473657442055641e-02,-5.759577963025397374e+00,-7.199483164476608299e-02,-5.759586531581287083e+00
4.000000000000000000e+00,5.001987858649383778e-01,2.500993929324691889e-01,-9.599298526788402341e-02,-5.759579686431231416e+00,-9.599310885968811990e-02,-5.759586531581287083e+00
5.000000000000000000e+00,4.993544185630751642e-01,2.496772092815375821e-01,-1.199912335334612501e-01,-5.759579583738536179e+00,-1.199913860746101568e-01,-5.759586531581287083e+00
6.000000000000000000e+00,4.982130938339214832e-01,2.491065469169607416e-01,-1.439894726302129169e-01,-5.759577383220400471e+00,-1.439896632895321937e-01,-5.759586531581287083e+00
7.000000000000000000e+00,4.967618942756862888e-01,2.483809471378431444e-01,-1.598581231586568008e-01,-3.808476126826530361e+00,-1.679879405044542307e-01,-5.759586531581287083e+00
8.000000000000000000e+00,4.948238035887696507e-01,2.474119017943848253e-01,-1.838563713338310091e-01,-5.759579562041810874e+00,-1.919862177193762676e-01,-5.759586531581287083e+00
9.000000000000000000e+00,4.927127074411288277e-01,2.463563537205644138e-01,-1.745833597505495605e-01,2.225522779987548994e+00,-2.159844949342983045e-01,-5.759586531581287083e+00
1.000000000000000000e+01,4.894569078614297020e-01,2.447284539307148510e-01,-1.764190472892885608e-01,-4.405650092973574239e-01,-2.329114208387873253e-01,-4.062462217077362325e+00
1.100000000000000000e+01,4.861558895644316203e-01,2.430779447822158101e-01,-1.524208104701608446e-01,5.759576836590650117e+00,-2.089131436238652884e-01,5.759586531581286195e+00
1.200000000000000000e+01,4.824286217606684191e-01,2.412143108803342095e-01,-1.544456380378965432e-01,-4.859586162565703304e-01,-2.329114208387873253e-01,-5.759586531581287083e+00
1.300000000000000000e+01,4.783699662749081316e-01,2.391849831374540658e-01,-1.784438730449169341e-01,-5.759576401684890712e+00,-2.336119231373854077e-01,-1.681205516635380093e-01
1.400000000000000000e+01,4.747945967888162477e-01,2.373972983944081239e-01,-1.544456339661292033e-01,5.759577378909052747e+00,-2.096136459224633708e-01,5.759586531581287083e+00
1.500000000000000000e+01,4.701237496773007507e-01,2.350618748386503754e-01,-1.564499723094937567e-01,-4.810412024074910420e-01,-2.336119231373854077e-01,-5.759586531581287083e+00
1.600000000000000000e+01,4.651020754859842010e-01,2.325510377429921005e-01,-1.804482173693553460e-01,-5.759578814366778765e+00,-2.342904582730639951e-01,-1.628484325628578588e-01
1.700000000000000000e+01,4.605544820513424176e-01,2.302772410256712088e-01,-1.564499697333679162e-01,5.759579432636982688e+00,-2.102921810581419582e-01,5.759586531581287083e+00
1.800000000000000000e+01,4.549457260588425367e-01,2.274728630294212683e-01,-1.584335283342215850e-01,-4.760540642048818327e-01,-2.342904582730639951e-01,-5.759586531581287083e+00
1.900000000000000000e+01,4.489660709630615143e-01,2.244830354815307571e-01,-1.824317682165347843e-01,-5.759577571755170489e+00,-2.149965770642497109e-01,4.630531490115426863e+00
2.000000000000000000e+01,4.437111520546243582e-01,2.218555760273121791e-01,-1.584335248290607845e-01,5.759578412993757723e+00,-1.909982998493276740e-01,5.759586531581287083e+00
2.100000000000000000e+01,4.371714823677850248e-01,2.185857411838925124e-01,-1.603203386663028251e-01,-4.528353209380915345e-01,-2.149965770642497109e-01,-5.759586531581287083e+00
2.200000000000000000e+01,4.302401943350681046e-01,2.151200971675340523e-01,-1.843185758917934292e-01,-5.759576934117742297e+00,-2.160311526895050405e-01,-2.482981500612782000e-01
2.300000000000000000e+01,2.118793403411053655e-01,2.118793403411053655e-01,-1.603202986768713922e-01,5.759586531581287083e+00,-1.920328754745830035e-01,5.759586531581287083e+00
2.400000000000000000e+01,2.085070193635799041e-01,2.085070193635799041e-01,-1.621902079628555204e-01,-4.487782286361889916e-01,-2.160311526895050405e-01,-5.759586531581287083e+00
2.500000000000000000e+01,2.052774299439527883e-01,2.052774299439527883e-01,-1.861884851777775574e-01,-5.759586531581287083e+00,-2.171395707285836973e-01,-2.660203293788807599e-01
2.600000000000000000e+01,2.025003818877168515e-01,2.025003818877168515e-01,-1.621902079628556037e-01,5.759586531581271984e+00,-1.931412935136616604e-01,5.759586531581287083e+00
2.700000000000000000e+01,1.995986301173530708e-01,1.995986301173530708e-01,-1.640431485694630875e-01,-4.447057455857992281e-01,-2.171395707285836973e-01,-5.759586531581287083e+00
2.800000000000000000e+01,1.968150713308532973e-01,1.968150713308532973e-01,-1.880414257843851245e-01,-5.759586531581287083e+00,-2.183119316240938468e-01,-2.813666149224385293e-01
2.900000000000000000e+01,1.944617987725378305e-01,1.944617987725378305e-01,-1.640431485694630875e-01,5.759586531581287083e+00,-1.943136580378018174e-01,5.759585660710084376e+00
3.000000000000000000e+01,1.931051647983204611e-01,1.931051647983204611e-01,-1.658790858497009302e-01,-4.406249472570795689e-01,-2.183119352527238544e-01,-5.759586531581287083e+00
3.100000000000000000e+01,1.918624366193503183e-01,1.918624366193503183e-01,-1.898773630646220234e-01,-5.759586531581064150e+00,-2.195590820194301684e-01,-2.993152240095184879e-01
3.200000000000000000e+01,1.934523317884901950e-01,1.934523317884901950e-01,-1.658790858496999865e-01,5.759586531581287083e+00,-1.955608048045081315e-01,5.759586531581287083e+00
3.300000000000000000e+01,1.947513000976884290e-01,1.947513000976884290e-01,-1.676980005422034348e-01,-4.365395262008284760e-01,-2.195590820194301684e-01,-5.759586531581287083e+00
3.400000000000000000e+01,1.961660169894629269e-01,1.961660169894629269e-01,-1.916962777571254717e-01,-5.759586531581287083e+00,-2.210761950963251732e-01,-3.641071384548002499e-01
3.500000000000000000e+01,1.980273631467312778e-01,1.980273631467312778e-01,-1.676980005422034348e-01,5.759586531581286195e+00,-1.970779178814031363e-01,5.759586531581287083e+00
3.600000000000000000e+01,1.995858709755303495e-01,1.995858709755303495e-01,-1.695004922198174724e-01,-4.325980026273708035e-01,-2.210761950963251732e-01,-5.759586531581287083e+00
3.700000000000000000e+01,2.009636029750225816e-01,2.009636029750225816e-01,-1.934987694347395093e-01,-5.759586531581287083e+00,-2.228650522130888323e-01,-4.293257080232786294e-01
3.800000000000000000e+01,2.027834640473261951e-01,2.027834640473261951e-01,-1.695004922198174724e-01,5.759586531581287083e+00,-1.988667749981667954e-01,5.759586531581287083e+00
3.900000000000000000e+01,2.043004524188458682e-01,2.043004524188458682e-01,-1.712871183794962004e-01,-4.287902783228929593e-01,-2.228650522130888323e-01,-5.759586531581287083e+00
4.000000000000000000e+01,2.055714068285524887e-01,2.055714068285524887e-01,-1.952853955944182374e-01,-5.759586531581287083e+00,-2.249790404943968480e-01,-5.073571875139206711e-01
4.100000000000000000e+01,2.072846441052876854e-01,2.072846441052876854e-01,-1.712871183794962004e-01,5.759586531581286195e+00,-2.009807632794748111e-01,5.759586531581287083e+00
4.200000000000000000e+01,2.086966806163597088e-01,2.086966806163597088e-01,-1.730586221673095226e-01,-4.251609090751964359e-01,-2.249790404943968480e-01,-5.759586531581287083e+00
4.300000000000000000e+01,2.098552217503549533e-01,2.098552217503549533e-01,-1.970568993822315595e-01,-5.759586531581287083e+00,-2.274943925179552240e-01,-6.036844856540080073e-01
4.400000000000000000e+01,2.114558829230450410e-01,2.114558829230450410e-01,-1.730586221673095226e-01,5.759586531581287083e+00,-2.034961153030331871e-01,5.759586531581287083e+00
4.500000000000000000e+01,2.127795803826865451e-01,2.127795803826865451e-01,-1.748159585170153407e-01,-4.217607239293954535e-01,-2.274943925179552240e-01,-5.759586531581287083e+00
4.600000000000000000e+01,2.138414125538425081e-01,2.138414125538425081e-01,-1.988142357319373776e-01,-5.759586531581287083e+00,-2.304629388961950964e-01,-7.124511307775716062e-01
4.700000000000000000e+01,2.153431326809062407e-01,2.153431326809062407e-01,-1.748159585170153407e-01,5.759586531581287083e+00,-2.064646616812730595e-01,5.759586531581287083e+00
4.800000000000000000e+01,2.165911478635238474e-01,2.165911478635238474e-01,-1.765602133666459017e-01,-4.186211639113341931e-01,-2.304629388961950964e-01,-5.759586531581287083e+00
4.900000000000000000e+01,2.175693798441995785e-01,2.175693798441995785e-01,-2.005584905815679386e-01,-5.759586531581287083e+00,-2.339782866996908128e-01,-8.436834728389746019e-01
5.000000000000000000e+01,2.189848320189582698e-01,2.189848320189582698e-01,-1.765602133666459017e-01,5.759586531581287083e+00,-2.099800094847687759e-01,5.759586531581287083e+00
5.100000000000000000e+01,2.201693431909167442e-01,2.201693431909167442e-01,-1.782927336092278436e-01,-4.158048582196629539e-01,-2.339782866996908128e-01,-5.759586531581287083e+00
5.200000000000000000e+01,2.210764450150558558e-01,2.210764450150558558e-01,-2.022910108241498250e-01,-5.759586531581276425e+00,-2.244247156228766082e-01,2.292857058435409989e+00
5.300000000000000000e+01,2.226732819467935331e-01,2.226732819467935331e-01,-1.782927336092277881e-01,5.759586531581286195e+00,-2.004264384079545713e-01,5.759586531581287083e+00
5.400000000000000000e+01,2.239328049653702135e-01,2.239328049653702135e-01,-1.799748470004336187e-01,-4.037072138893975648e-01,-2.244247156228766082e-01,-5.759586531581287083e+00
5.500000000000000000e+01,2.249143173188798417e-01,2.249143173188798417e-01,-2.039731242153556279e-01,-5.759586531581279978e+00,-2.285229704838524778e-01,-9.835811666342078041e-01
5.600000000000000000e+01,4.530552978689351140e-01,2.265276489344675570e-01,-1.799748609118573539e-01,5.759583192839587973e+00,-2.045246932689304409e-01,5.759586531581287083e+00
5.700000000000000000e+01,4.557955754230877954e-01,2.278977877115438977e-01,-1.816470409209316739e-01,-4.013232021778385672e-01,-2.285229704838524500e-01,-5.759586531581285307e+00
5.800000000000000000e+01,4.579782121971176512e-01,2.289891060985588256e-01,-2.056453181358537108e-01,-5.759586531581287083e+00,-2.334090920723754237e-01,-1.172669181245511894e+00
5.900000000000000000e+01,4.614134608086367662e-01,2.307067304043183831e-01,-1.816470550596236411e-01,5.759583138295216287e+00,-2.094108148574533868e-01,5.759586531581287083e+00
6.000000000000000000e+01,4.643736848496755609e-01,2.321868424248377805e-01,-1.833113005083001068e-01,-3.994189076823548845e-01,-2.334090920723754237e-01,-5.759586531581287083e+00
6.100000000000000000e+01,4.667748861439842689e-01,2.333874430719921345e-01,-2.073095777232221437e-01,-5.759586531581287083e+00,-2.390928664966110728e-01,-1.364105861816556242e+00
