,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
5925,4264.6318359375,1647275192.539382,0.003387424163520336,1647275192.5394697,0.0010813447879627347,1647275192.5395315,34.77000045776367,1647275192.5395865,-0.06045392155647278,1647275192.5396416,4257.0,1647275192.5396976,,,,,,
6107,3455.937744140625,1647275192.5918548,0.00714496523141861,1647275192.5919235,0.00177737046033144,1647275192.5919843,34.959999084472656,1647275192.5920374,-0.061129629611968994,1647275192.5920684,4228.0,1647275192.592096,,,,,,
6223,6896.0263671875,1647275192.6190913,0.008679029531776905,1647275192.6191566,0.003471198258921504,1647275192.619213,35.0,1647275192.6192691,-0.06111542880535126,1647275192.6193073,4228.0,1647275192.6193366,,,,,,
6424,7956.5751953125,1647275192.6635458,0.008272678591310978,1647275192.6636107,0.004498440772294998,1647275192.663671,35.90999984741211,1647275192.6637251,-0.06289198249578476,1647275192.6637583,4237.0,1647275192.6637866,,,,,,
6511,9589.970703125,1647275192.6883214,0.0027344506233930588,1647275192.6883988,0.0005404360126703978,1647275192.6884406,35.63999938964844,1647275192.6884737,-0.06233448162674904,1647275192.6885042,4225.0,1647275192.688537,,,,,,
6711,6224.1513671875,1647275192.7521253,0.001924076466821134,1647275192.752191,0.00120294198859483,1647275192.7522485,36.099998474121094,1647275192.7523057,-0.06247584894299507,1647275192.7523477,4182.0,1647275192.7523768,,,,,,
6833,5366.89111328125,1647275192.7805734,0.006949026137590408,1647275192.7806334,0.0028844985645264387,1647275192.780666,36.18000030517578,1647275192.7807162,-0.06249760091304779,1647275192.7807715,4183.0,1647275192.7808301,,,,,,
6948,5433.84130859375,1647275192.8061302,0.007410360034555197,1647275192.8061833,0.004433262627571821,1647275192.8062253,36.099998474121094,1647275192.8062797,-0.06260038167238235,1647275192.8063312,4188.0,1647275192.8063648,,,,,,
7066,4892.380859375,1647275192.8349912,0.0030297725461423397,1647275192.8350453,0.001275141490623355,1647275192.8350763,35.540000915527344,1647275192.8351023,-0.061001069843769073,1647275192.835126,4187.0,1647275192.835152,,,,,,
7165,8408.09765625,1647275192.8587127,0.0005880942917428911,1647275192.8587918,0.001777800964191556,1647275192.8588538,35.54999923706055,1647275192.8588896,-0.061669621616601944,1647275192.858926,4186.0,1647275192.858982,,,,,,
