,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel
0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0
1,0.01,-0.0009357346292960349,-10.0,-0.0009385418331839229,0.10677394168160768,0.003,-0.1,0.01,-0.0009357474459890002,-9.999951362609863,-0.0009385455585790611,0.10677356914209384,0.003000004863739014,-0.09999951362609864,0.01,-0.0026335308150326,10.0,-0.0026414314074776975,-0.06351501574776981,0.005,0.1,0.01,-0.0026335287422409657,10.0,-0.002641429328467688,-0.06351480784676883,0.005,0.1
2,0.02,0.00018053877143253712,-10.0,0.0005432411632405041,0.14817829964244267,0.001,-0.2,0.02,0.00018601957307245185,-9.999905586242676,0.0005597248883613248,0.1498270446940386,0.00100001916885376,-0.1999985694885254,0.02,-0.0011740416403345584,10.0,-0.003532691295766685,-0.08912598882889877,0.007,0.2,0.02,-0.0011740399071215684,10.0,-0.003532686080528798,-0.08912567520611105,0.007,0.2
3,0.03,0.00031496631498900143,-10.0,0.0018954672836038104,0.13522261203633065,0.0,-0.30000000000000004,0.03,0.00032044863296269526,-9.999930381774902,0.0019284325316446843,0.13687076432833595,0.0,-0.2999978733062744,0.03,-0.0006892957082531292,10.0,-0.004148181572267332,-0.06154902765006459,0.008,0.30000000000000004,0.03,-0.0006892943317975076,10.0,-0.004148173288757401,-0.06154872082286016,0.008,0.30000000000000004
4,0.04,0.0003766522771630304,0.0,0.002266693403967117,0.037122612036330646,0.0,-0.30000000000000004,0.04,0.00038487421293016314,0.0,0.002316140174928044,0.038770764328335934,0.0,-0.2999978733062744,0.04,-0.0005432289448649151,0.0,-0.00326915179019706,0.08790297820702722,0.008,0.30000000000000004,0.04,-0.000543227236442271,0.0,-0.003269141508909587,0.08790317798478137,0.008,0.30000000000000004
5,0.05,0.00027532727223835546,0.0,0.0016569195243304232,-0.06097738796366936,0.0,-0.30000000000000004,0.05,0.00028628651461182073,0.0,0.0017228478182114032,-0.05932923567166407,0.0,-0.2999978733062744,0.05,-0.0002359892928066795,0.0,-0.0014201835641105972,0.1848968226086462,0.008,0.30000000000000004,0.05,-0.00023598760801709528,0.0,-0.0014201734250468795,0.18489680838627076,0.008,0.30000000000000004
6,0.06,1.0991300214976651e-05,0.0,6.614564469372948e-05,-0.15907738796366938,0.0,-0.30000000000000004,0.06,2.4685538007668376e-05,0.0,0.00014855546149476263,-0.15742923567166403,0.0,-0.2999978733062744,0.06,4.907103897539224e-05,0.0,0.00029530951255391045,0.17154930766645077,0.008,0.30000000000000004,0.06,4.907215172516613e-05,0.0,0.00029531620908204975,0.1715489634128929,0.008,0.30000000000000004
7,0.07,-0.0004163556389071061,0.0,-0.0025056282349429646,-0.2571773879636694,0.0,-0.30000000000000004,0.07,-0.00039992871688229406,0.0,-0.0024067368952218776,-0.2555292356716641,0.0,-0.2999978733062744,0.07,0.0001711204036587601,0.0,0.0010298025892184182,0.07344930766645075,0.008,0.30000000000000004,0.07,0.00017112094436872363,0.0,0.0010298058432109789,0.07344896341289289,0.008,0.30000000000000004
8,0.08,-0.0007516407575757122,0.0,-0.004523374079090636,-0.20177458441476717,0.0,-0.30000000000000004,0.08,-0.00074888913750628,0.0,-0.004506750932311085,-0.21000140370892073,0.0,-0.2999978733062744,0.08,0.00013015880124342402,0.0,0.0007832956658829258,-0.024650692333549246,0.008,0.30000000000000004,0.08,0.00013015876991357726,0.0,0.0007832954773399079,-0.0246510365871071,0.008,0.30000000000000004
9,0.08999999999999998,-0.0007961970229039333,0.0,-0.0047915136838358715,-0.02681396047452345,0.0,-0.30000000000000004,0.08999999999999998,-0.000813945180658009,0.0,-0.004898252649244541,-0.0391501716933457,0.0,-0.2999978733062744,0.08999999999999998,-7.381376827061597e-05,0.0,-0.0004442112574525669,-0.12275069233354924,0.008,0.30000000000000004,0.08999999999999998,-7.381437164027306e-05,0.0,-0.0004442148885311632,-0.1227510365871071,0.008,0.30000000000000004
10,0.1,-0.0005279262456324332,0.0,-0.0031770601462159822,0.16144535376198876,0.0,-0.30000000000000004,0.1,-0.0005562730895337384,0.0,-0.0033476039901229305,0.1550648659121611,0.0,-0.2999978733062744,0.1,-0.0003967471550205236,0.0,-0.002387624378913511,-0.1943413121460944,0.008,0.30000000000000004,0.1,-0.00039674803493276273,0.0,-0.002387629674225366,-0.19434147856942033,0.008,0.30000000000000004
11,0.11,-0.00011175867386896993,0.0,-0.0006725636993434609,0.25044964468725217,0.0,-0.30000000000000004,0.11,-0.0001296449033942988,0.0,-0.0007801919669808765,0.2567412023142054,0.0,-0.2999978733062744,0.11,-0.0006459235940799385,0.0,-0.003887168189173071,-0.14995438102595599,0.008,0.30000000000000004,0.11,-0.0006459240376375943,0.0,-0.003887170858503042,-0.14995411842776762,0.008,0.30000000000000004
