,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
189,6390.4775390625,1647282143.551434,0.007975546643137932,1647282143.551507,0.002967804903164506,1647282143.551546,47.25,1647282143.5515804,-0.03400925174355507,1647282143.551614,3146.0,1647282143.551648,,,,,,
299,9033.9482421875,1647282143.5874565,0.0048576886765658855,1647282143.58752,0.0009243250824511051,1647282143.587559,37.375,1647282143.587593,-0.10072112828493118,1647282143.5876257,3110.0,1647282143.5876594,,,,,,
446,4169.0888671875,1647282143.6349316,0.0021986854262650013,1647282143.634998,0.0007017611060291529,1647282143.6350374,37.16666793823242,1647282143.635072,-0.08412574976682663,1647282143.6351044,3106.0,1647282143.6351385,,,,,,
560,3707.4853515625,1647282143.6723864,0.00957063864916563,1647282143.672462,0.0010781249729916453,1647282143.672517,35.0,1647282143.6725678,-0.07038369029760361,1647282143.6726246,3095.0,1647282143.6726756,,,,,,
657,8203.4736328125,1647282143.6975968,0.008568915538489819,1647282143.6976454,0.0007793322438374162,1647282143.6976948,32.849998474121094,1647282143.6977427,-0.07181645184755325,1647282143.6977713,3184.0,1647282143.6977947,,,,,,
907,3328.002197265625,1647282143.7498024,0.003933659754693508,1647282143.7498548,0.0025450263638049364,1647282143.7498832,37.79166793823242,1647282143.749906,-0.37243717908859253,1647282143.7499273,3508.0,1647282143.7499576,,,,,,
1129,3788.435302734375,1647282143.7962196,0.0026866463012993336,1647282143.7962677,0.0034429668448865414,1647282143.7963006,40.32143020629883,1647282143.7963226,-0.3248876929283142,1647282143.7963433,3702.0,1647282143.7963696,,,,,,
1242,3141.3271484375,1647282143.8212745,0.00851583294570446,1647282143.8213208,0.003798924619331956,1647282143.821349,38.8125,1647282143.8213718,-0.40734776854515076,1647282143.821393,3763.0,1647282143.8214178,,,,,,
1346,6057.92626953125,1647282143.844351,0.0041418918408453465,1647282143.8443978,0.0020827671978622675,1647282143.8444283,37.38888931274414,1647282143.844455,-0.3669230043888092,1647282143.8444793,3812.0,1647282143.8445046,,,,,,
1460,4261.67626953125,1647282143.8691764,0.00843742024153471,1647282143.8692377,0.0006530310492962599,1647282143.8692684,36.5,1647282143.8692918,-1.1687182188034058,1647282143.869313,3863.0,1647282143.869335,,,,,,
1538,7479.93603515625,1647282143.887119,0.0027309139259159565,1647282143.8871794,0.0022856586147099733,1647282143.8872092,34.95454406738281,1647282143.8872323,-1.2178477048873901,1647282143.8872535,3885.0,1647282143.8872848,,,,,,
1767,6390.52880859375,1647282143.9358258,0.0022249994799494743,1647282143.9358854,0.00027728432905860245,1647282143.9359157,36.8125,1647282143.9359598,-1.1198163032531738,1647282143.9360077,3974.0,1647282143.9360442,,,,,,
1879,8192.8798828125,1647282143.9604228,0.0081184608861804,1647282143.9604833,0.002119179582223296,1647282143.9605129,36.13461685180664,1647282143.9605358,-1.0637564659118652,1647282143.9605725,4005.0,1647282143.9606204,,,,,,
2045,3390.079345703125,1647282143.9968271,0.001748205628246069,1647282143.9968772,0.003366028657183051,1647282143.9969127,36.51785659790039,1647282143.996937,-0.992251992225647,1647282143.9969583,4045.0,1647282143.9969802,,,,,,
2154,8913.1865234375,1647282144.020997,0.0032043331302702427,1647282144.0210438,0.0009427221957594156,1647282144.0210712,35.900001525878906,1647282144.0210936,-0.9277872443199158,1647282144.0211143,4066.0,1647282144.0211456,,,,,,
2298,7679.9287109375,1647282144.0518866,0.003968187607824802,1647282144.0519338,0.00021332055621314794,1647282144.051961,35.90625,1647282144.0519836,-0.8718824982643127,1647282144.0520046,4099.0,1647282144.0520265,,,,,,
2417,6403.12744140625,1647282144.080826,0.009503079578280449,1647282144.0809088,0.007905552163720131,1647282144.0809674,35.54411697387695,1647282144.081021,-0.8230915665626526,1647282144.0810704,4100.0,1647282144.0811007,,,,,,
2540,5938.9267578125,1647282144.1104207,0.009873607195913792,1647282144.1104698,0.0017048120498657227,1647282144.1104972,35.27777862548828,1647282144.1105201,-0.7798370122909546,1647282144.1105413,4102.0,1647282144.1105633,,,,,,
2642,8739.7177734375,1647282144.135543,0.007522678002715111,1647282144.1355927,0.0003105360083281994,1647282144.1356409,34.76315689086914,1647282144.1357012,-0.7401060461997986,1647282144.1357315,4101.0,1647282144.1357553,,,,,,
