,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel,Time,Reward,Height,Motor1Pos,Motor1Vel,Motor2Pos,Motor2Vel
0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0,0.0,0.5010290000000015,0.25051450000000075,0.0,0.0,0.0,0.0
1,1.0,0.5010290000000015,0.25051450000000075,-0.02399825261523677,-5.759580627656825,0.023998277214922027,5.759586531581287,1.0,0.5010290000000015,0.25051450000000075,0.023998245664304436,5.759578959433065,0.023998277214922027,5.759586531581287,1.0,0.5010290000000015,0.25051450000000075,-0.023998245664304436,-5.759578959433065,-0.023998277214922023,-5.759586531581286,1.0,0.5010290000000015,0.25051450000000075,0.023998245664304436,5.759578959433065,0.023998277214922027,5.759586531581287,1.0,0.5010290000000015,0.25051450000000075,0.023998245664304436,5.759578959433065,0.023998277214922027,5.759586531581287,1.0,0.5010290000000015,0.25051450000000075,0.023998245664304436,5.759578959433065,0.023998277214922027,5.759586531581287
2,2.0,0.5016418412544144,0.2508209206272072,-0.04799650375840528,-5.7595802743604425,0.04799655442984405,5.759586531581287,2.0,0.5003450661735908,0.2501725330867954,0.04799648868671234,5.7595783253778965,0.0,-5.759586531581287,2.0,0.5010316838264122,0.2505158419132061,-0.047996495061814734,-5.759579855402472,-0.04799655442984405,-5.759586531581287,2.0,0.5003450661735908,0.2501725330867954,0.04799648932629133,5.759578478876855,0.04799655442984405,5.759586531581287,2.0,0.5003450661735908,0.2501725330867954,0.04799648932629133,5.759578478876855,0.04799655442984405,5.759586531581287,2.0,0.5003450661735908,0.2501725330867954,0.006052023819699297,-4.307093242705233,0.014033743883154556,-2.391487999624194
3,3.0,0.5019918439745625,0.25099592198728127,-0.07199474752577344,-5.759578504168358,0.07199483164476608,5.759586531581287,3.0,0.4986045413606264,0.2493022706803132,0.07199476590163437,5.759586531581287,0.023998277214922023,5.759586531581286,3.0,0.5007557955255154,0.2503778977627577,-0.07199473657442056,-5.7595779630253965,-0.07199483164476608,-5.759586531581287,3.0,0.49921031628195417,0.24960515814097708,0.07199473020625823,5.759577811192056,0.07199483164476608,5.759586531581287,3.0,0.49921031628195417,0.24960515814097708,0.07199473020625823,5.759577811192056,0.07199483164476608,5.759586531581287,3.0,0.4999783758838717,0.24998918794193584,0.030050275467997288,5.759580395591518,0.03803202109807658,5.759586531581287
4,4.0,0.5020778945388229,0.25103894726941145,-0.09599299143534101,-5.759578538296214,0.09599310885968815,5.759586531581287,4.0,0.4969961869347997,0.24849809346739987,0.09599301338512663,5.759579396038142,-3.469446951953614e-18,-5.759586531581287,4.0,0.5001987858649384,0.2500993929324692,-0.09599298526788401,-5.759579686431232,-0.09599310885968815,-5.759586531581287,4.0,0.49762385643209,0.24881192821604495,0.09599297863037874,5.759579621788925,0.09599310885968815,5.759586531581287,4.0,0.49762385643209,0.24881192821604495,0.09599297863037874,5.759579621788925,0.09599310885968815,5.759586531581287,4.0,0.4986186641478,0.2493093320739,0.011057910600740115,-4.558167568141721,0.021433731293147164,-3.983589553183061
5,5.0,0.5018966583202686,0.2509483291601343,-0.11999123891120703,-5.759579394207845,0.11999138607461016,5.759586531581287,5.0,0.4943218748890422,0.2471609374445211,0.11999129060004864,5.759586531581287,0.023998277214922023,5.759586531581287,5.0,0.4993544185630752,0.2496772092815376,-0.11999123353346124,-5.759579583738536,-0.11999138607461016,-5.759586531581287,5.0,0.4955826362920889,0.24779131814604444,0.11999121873300128,5.759577624629412,0.11999138607461016,5.759586531581287,5.0,0.4955826362920889,0.24779131814604444,0.11999121873300128,5.759577624629412,0.11999138607461016,5.759586531581287,5.0,0.4975221811757652,0.24876109058788257,0.03505614872031391,5.75957714869771,0.04431569013786199,5.491670122731559
6,6.0,0.5014429405427914,0.2507214702713957,-0.143989495558884,-5.7595815954424765,0.1439896632895322,5.759586531581287,6.0,0.4917590984322327,0.24587954921611635,0.14398954215150955,5.759580372350613,-3.469446951953614e-18,-5.759586531581287,6.0,0.49821309383392154,0.24910654691696077,-0.14398947263021292,-5.7595773832204,-0.1439896632895322,-5.759586531581287,6.0,0.49308206299550256,0.24654103149775128,0.14398946010005564,5.7595779280930435,0.1439896632895322,5.759586531581287,6.0,0.49308206299550256,0.24654103149775128,0.14398946010005564,5.7595779280930435,0.1439896632895322,5.759586531581287,6.0,0.49547292690198275,0.24773646345099137,0.013537675796826012,-5.164433501637094,0.02139144927673234,-5.501817806671116
7,7.0,0.2503548830892304,0.2503548830892304,-0.16798777277380603,-5.759586531581287,0.16798794050445423,5.759586531581287,7.0,0.4881125908349306,0.2440562954174653,0.1679878193664316,5.759586531581287,0.023998277214922023,5.759586531581286,7.0,0.49676189427568634,0.24838094713784317,-0.16798772108947055,-5.759579630221837,-0.16798794050445423,-5.759586531581287,7.0,0.4901163994132847,0.24505819970664236,0.16798771115128375,5.759580252294751,0.16798794050445423,5.759586531581287,7.0,0.4901163994132847,0.24505819970664236,0.16798771115128375,5.759580252294751,0.16798794050445423,5.759586531581287,7.0,0.49367220752962176,0.24683610376481088,-0.010460572871553704,-5.759579680411132,-0.002606827938189688,-5.759586531581287
8,8.0,0.25039535128901586,0.25039535128901586,-0.1919860499887281,-5.759586531581287,0.19198621771937624,5.759586531581287,8.0,0.4845467204142689,0.24227336020713444,0.1919860612554572,5.759578053366146,-6.938893903907228e-18,-5.759586531581287,8.0,0.49498439682552814,0.24749219841276407,-0.1919859646126248,-5.759578445557005,-0.19198621771937624,-5.759586531581287,8.0,0.48667896867992005,0.24333948433996003,0.1439894711407221,-5.759577602534798,0.1439896632895322,-5.759586531581287,8.0,0.48667896867992005,0.24333948433996003,0.19198595520504336,5.759578572902309,0.19198621771937624,5.759586531581287,8.0,0.4916462633143639,0.24582313165718195,-0.034458824145739926,-5.759580305804692,0.021391449276732335,5.759586531581286
9,9.0,0.25081609251447745,0.25081609251447745,-0.21598432720365007,-5.759586531581287,0.21598449493429833,5.759586531581287,9.0,0.4801133085808685,0.24005665429043424,0.21598433847037923,5.759586531581287,0.023998181538380885,5.759563569211414,9.0,0.4928604470285439,0.24643022351427196,-0.2159842418275468,-5.759586531581287,-0.21598449493429833,-5.759586531581287,9.0,0.4836756842027281,0.24183784210136405,0.11999119392580009,-5.759586531581287,0.11999138607461016,-5.759586531581287,9.0,0.48276233099301347,0.24138116549650673,0.21598420134935783,5.759579074635477,0.21598449493429833,5.759586531581287,9.0,0.4899567583751988,0.24497837918759935,-0.04126516414995103,-1.6335216010106652,0.005977945457021744,-3.699240916730543
