# Time, Reward, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
1.400000000000000000e+01,2.753458714451891831e-01,-2.879792621246322626e-01,-5.759586531581287083e+00,3.327470194056245667e-01,5.089379497556692833e+00
1.500000000000000000e+01,2.771469649027436533e-01,-3.115412134719989234e-01,-5.654868323367997718e+00,3.518321932474123281e-01,4.580441722029060081e+00
1.600000000000000000e+01,2.786427663025281554e-01,-3.327469696846289127e-01,-5.089381491031196525e+00,3.690088577182178975e-01,4.122399472993336644e+00
1.700000000000000000e+01,2.797753625537154343e-01,-3.518321502878262175e-01,-4.580443344767348712e+00,3.844678494138442648e-01,3.710158006950328602e+00
1.800000000000000000e+01,2.807899478533131821e-01,-3.278338730729041806e-01,5.759586531581287083e+00,3.983809420322897421e-01,3.339142228426909220e+00
1.900000000000000000e+01,2.800495563087335160e-01,-3.270762938615457416e-01,1.818190107260191368e-01,4.109027253888906661e-01,3.005228005584218209e+00
2.000000000000000000e+01,2.812310206289779790e-01,-3.030780166466237047e-01,5.759586531581287083e+00,4.221723304098314866e-01,2.704705205025797810e+00
2.100000000000000000e+01,2.814615915156407633e-01,-3.003052124451876526e-01,6.654730083446525057e-01,4.323149644647956147e-01,2.434232173191386295e+00
2.200000000000000000e+01,2.830242402014439551e-01,-2.763069352302656156e-01,5.759586531581287083e+00,4.414433455781459625e-01,2.190811467204077267e+00
2.300000000000000000e+01,2.835839804429894362e-01,-2.740819556230639220e-01,5.339951057284011426e-01,4.496587946697759297e-01,1.971707781991194119e+00
2.400000000000000000e+01,2.853622861894722362e-01,-2.500836784081418851e-01,5.759586531581287083e+00,4.570527927626282239e-01,1.774559542284549263e+00
2.500000000000000000e+01,2.860759670825467893e-01,-2.519504220280134321e-01,-4.480184687691695089e-01,4.637073686613837342e-01,1.597098215701320267e+00
2.600000000000000000e+01,2.881837459266990420e-01,-2.279521448130913952e-01,5.759586531581287083e+00,4.696965093550752313e-01,1.437393766485962177e+00
2.700000000000000000e+01,2.890355264130383683e-01,-2.351387521072186571e-01,-1.724785750590544176e+00,4.750867359793976008e-01,1.293654389837364693e+00
2.800000000000000000e+01,2.908717748277148130e-01,-2.111404748922966201e-01,5.759586531581287083e+00,4.799379399412877500e-01,1.164288950853629379e+00
2.900000000000000000e+01,2.912596492853629093e-01,-2.222203444391234739e-01,-2.659168691238446236e+00,4.843040235069888677e-01,1.047860055768265797e+00
3.000000000000000000e+01,2.928181531584100328e-01,-1.982220672242014370e-01,5.759586531581287083e+00,4.882334987161198736e-01,9.430740501914387508e-01
3.100000000000000000e+01,2.927825046569750289e-01,-2.136030634748183332e-01,-3.691439100148058650e+00,4.917700264043377567e-01,8.487666451722946093e-01
3.200000000000000000e+01,2.941120056164218677e-01,-2.376013153485493912e-01,-5.759580449695452131e+00,4.949529013237338737e-01,7.638899806550654148e-01
3.300000000000000000e+01,2.956487871894718511e-01,-2.615995743662171136e-01,-5.759582164240256930e+00,4.978174887511903624e-01,6.875009825895586069e-01
3.400000000000000000e+01,2.970604705133551571e-01,-2.855978322423640692e-01,-5.759581890275271121e+00,5.003956174359012188e-01,6.187508843306027684e-01
3.500000000000000000e+01,2.983399502539706427e-01,-3.093979040667182989e-01,-5.712017237845008921e+00,5.027159332521409230e-01,5.568757958975423250e-01
3.600000000000000000e+01,2.994585336148303245e-01,-3.308179656755318443e-01,-5.140814786115256219e+00,5.048042174867567455e-01,5.011882163077894248e-01
3.700000000000000000e+01,3.003084405925873224e-01,-3.500960258422849969e-01,-4.626734440020753070e+00,5.066836732979109748e-01,4.510693946770095719e-01
3.800000000000000000e+01,3.008469583338383435e-01,-3.674463008178863732e-01,-4.164065994144331206e+00,5.083752095032506579e-01,4.059686892815291825e-01
3.900000000000000000e+01,3.009852790899248953e-01,-3.830615720503178778e-01,-3.747665095783558442e+00,5.098975661127554959e-01,3.653655862811558963e-01
4.000000000000000000e+01,3.007756326502591393e-01,-3.971153171018383943e-01,-3.372898812364919063e+00,5.112676870613098723e-01,3.288290276530397849e-01
4.100000000000000000e+01,3.002838395746972866e-01,-3.731170608287529555e-01,5.759581505540500856e+00,5.125007959150087444e-01,2.959461248877346962e-01
4.200000000000000000e+01,2.983456947396821990e-01,-3.878147346096166848e-01,-3.527441707407292348e+00,5.136105395763251869e-01,2.663384787159552292e-01
4.300000000000000000e+01,2.975091946323536463e-01,-3.638164831386789810e-01,5.759580353025043564e+00,5.146093631785225719e-01,2.397176645273670914e-01
4.400000000000000000e+01,2.952196642753566191e-01,-3.795210569965945524e-01,-3.769097725899732687e+00,5.155082348235323630e-01,2.157291948023365991e-01
4.500000000000000000e+01,2.940726902057830827e-01,-3.939288080385746627e-01,-3.457860250075220687e+00,5.163172889010090305e-01,1.941729785943948627e-01
4.600000000000000000e+01,2.926614738850080166e-01,-3.699305308236526257e-01,5.759586531581286195e+00,5.170454375707380645e-01,1.747556807349558705e-01
4.700000000000000000e+01,2.913135440566855250e-01,-3.851219343281251373e-01,-3.645936841073400991e+00,5.177007713734942396e-01,1.572801126614692402e-01
4.800000000000000000e+01,2.922521665763645471e-01,-3.989696184551425051e-01,-3.323444190484168281e+00,5.182905717959747083e-01,1.415521013953098262e-01
4.900000000000000000e+01,2.929346328382660403e-01,-3.749713412402204682e-01,5.759586531581287083e+00,5.188213921762071523e-01,1.273968912557785771e-01
5.000000000000000000e+01,2.922393673712916917e-01,-3.897079567442654491e-01,-3.536787720970793636e+00,5.192991305184163631e-01,1.146572021302060679e-01
5.100000000000000000e+01,2.931331883884592537e-01,-3.657096795293434122e-01,5.759586531581287083e+00,5.197290950264046305e-01,1.031914819171788344e-01
5.200000000000000000e+01,2.925995367638978828e-01,-3.813794766711661732e-01,-3.760751314037457327e+00,5.201160630835940379e-01,9.287233372546004062e-02
5.300000000000000000e+01,2.935923265303587715e-01,-3.956014065638794319e-01,-3.413263174251183418e+00,5.204643343350645601e-01,8.358510035291466522e-02
5.400000000000000000e+01,2.943297019808397419e-01,-3.716031293489573950e-01,5.759586531581287083e+00,5.207777784613879524e-01,7.522659031762213289e-02
5.500000000000000000e+01,2.936773258151053057e-01,-3.867073279992972457e-01,-3.625007676081565045e+00,5.210598781750790387e-01,6.770393128584779874e-02
5.600000000000000000e+01,2.943403458898919411e-01,-4.003964727591974304e-01,-3.285394742376038124e+00,5.213137679174010275e-01,6.093353815727464706e-02
5.700000000000000000e+01,2.948338858549063302e-01,-3.763981955442753935e-01,5.759586531581286195e+00,5.215422686854908063e-01,5.484018434154690202e-02
5.800000000000000000e+01,2.939756374273141404e-01,-3.910375383967692464e-01,-3.513442284598522924e+00,5.217479193767715628e-01,4.935616590738478582e-02
5.900000000000000000e+01,2.948257653983710203e-01,-3.670392611818472095e-01,5.759586531581286195e+00,5.219330049989242548e-01,4.442054931665406770e-02
6.000000000000000000e+01,2.942715444039484818e-01,-3.826123815056943767e-01,-3.737548877723313900e+00,5.220995820588617553e-01,3.997849438498889130e-02
6.100000000000000000e+01,2.950602181670368696e-01,-3.967110209149548039e-01,-3.383673458222506536e+00,5.222495014128054613e-01,3.598064494648944844e-02
6.200000000000000000e+01,2.956044548346072887e-01,-3.727127437000327670e-01,5.759586531581287083e+00,5.223844288313548301e-01,3.238258045184050360e-02
6.300000000000000000e+01,2.947862256923019508e-01,-3.877282670919465768e-01,-3.603725614059318794e+00,5.225058635080491731e-01,2.914432240664245610e-02
6.400000000000000000e+01,2.955482228666435618e-01,-4.013153179425817951e-01,-3.260892204152454177e+00,5.226151547170740930e-01,2.622989016599142076e-02
6.500000000000000000e+01,2.960758466087270446e-01,-3.773170407276597582e-01,5.759586531581287083e+00,5.227135168051966208e-01,2.360690114939334450e-02
6.600000000000000000e+01,2.952700248111350678e-01,-3.918788041765612351e-01,-3.494823227736360671e+00,5.228020426845068069e-01,2.124621103445252512e-02
6.700000000000000000e+01,2.958751005327426853e-01,-3.678805269616391982e-01,5.759586531581286195e+00,5.228817159758860633e-01,1.912158993100820936e-02
6.800000000000000000e+01,2.950946157866942698e-01,-3.833816919759702735e-01,-3.720279603439458960e+00,5.229534219381273275e-01,1.720943093790269773e-02
6.900000000000000000e+01,2.958755969118411766e-01,-3.974034003382031499e-01,-3.365210006935885456e+00,5.230179573041444652e-01,1.548848784411571700e-02
7.000000000000000000e+01,2.964249356588691264e-01,-3.734051231232811130e-01,5.759586531581287083e+00,5.230760391335599335e-01,1.393963905970441175e-02
7.100000000000000000e+01,2.956245419058821655e-01,-3.883594492394503161e-01,-3.589038267880609645e+00,5.231283127800337995e-01,1.254567515372767561e-02
7.200000000000000000e+01,2.962430414863164163e-01,-4.018833818753351772e-01,-3.245743832612364876e+00,5.231753590618603011e-01,1.129110763836038700e-02
7.300000000000000000e+01,2.966342061647492256e-01,-3.778851046604131403e-01,5.759586531581287083e+00,5.232177293675084329e-01,1.016887335555277661e-02
7.400000000000000000e+01,2.957086114872853333e-01,-3.923955155410362439e-01,-3.482498611349547524e+00,5.232558339905875044e-01,9.145109538971435414e-03
7.500000000000000000e+01,2.965080683283933261e-01,-3.683972383261142070e-01,5.759586531581286195e+00,5.232901416964740315e-01,8.233849412759459974e-03
7.600000000000000000e+01,2.959418924734826817e-01,-3.838515005755798182e-01,-3.709022939871744917e+00,5.233210050866564655e-01,7.407213643787227686e-03
7.700000000000000000e+01,2.966900625389011226e-01,-3.978262280778517290e-01,-3.353934600545255940e+00,5.233487821378206561e-01,6.666492279416402766e-03
7.800000000000000000e+01,2.972136442132226053e-01,-3.738279508629296921e-01,5.759586531581287083e+00,5.233737706327945549e-01,5.997238793727103362e-03
7.900000000000000000e+01,2.964240601215376025e-01,-3.887432545792032790e-01,-3.579672891905654630e+00,5.233962711293449477e-01,5.400119172095749209e-03
8.000000000000000000e+01,2.971292268932624880e-01,-4.022288066811128271e-01,-3.236532504458293324e+00,5.234165215762403012e-01,4.860107254892831463e-03
8.100000000000000000e+01,2.976197786827031733e-01,-3.782305294661907902e-01,5.759586531581287083e+00,5.234347269774118905e-01,4.369296281188126546e-03
8.200000000000000000e+01,2.968313195366162338e-01,-3.927086688032020989e-01,-3.474753440882710542e+00,5.234511318395005386e-01,3.937166901270536257e-03
8.300000000000000000e+01,2.974315542314786009e-01,-3.687103915882800620e-01,5.759586531581287083e+00,5.234658962153804218e-01,3.543450211158649665e-03
8.400000000000000000e+01,2.967134671891477060e-01,-3.841353412275935186e-01,-3.701987913435233146e+00,5.234791841536722279e-01,3.189105190040369964e-03
8.500000000000000000e+01,2.974463671876775295e-01,-3.980816846646640372e-01,-3.347122424896927129e+00,5.234911432981348423e-01,2.870194671038106549e-03
8.600000000000000000e+01,2.979674616174535218e-01,-3.740834074497420003e-01,5.759586531581287083e+00,5.235019065281512063e-01,2.583175203935358238e-03
8.700000000000000000e+01,2.972133614182181915e-01,-3.889745542955576063e-01,-3.573875242995742774e+00,5.235115934351659561e-01,2.324857683535741515e-03
8.800000000000000000e+01,2.978442411482076224e-01,-4.024369764258317050e-01,-3.230981311265789468e+00,5.235203116514792754e-01,2.092371915188621923e-03
8.900000000000000000e+01,2.982693991441828230e-01,-3.784386992109096681e-01,5.759586531581287083e+00,5.235281580461612627e-01,1.883134723668966615e-03
9.000000000000000000e+01,2.974561101129510332e-01,-3.928969990896233888e-01,-3.469991970891293853e+00,5.235352198013749625e-01,1.694821251296413367e-03
9.100000000000000000e+01,2.981310786157976844e-01,-3.688987218747013519e-01,5.759586531581287083e+00,5.235415753810673811e-01,1.525339126172475801e-03
9.200000000000000000e+01,2.975218070041547036e-01,-3.843057206341153886e-01,-3.697679702259365264e+00,5.235472954027905468e-01,1.372805213554359471e-03
