# Time, Reward, Height, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
0.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.010290000000015009e-01,2.505145000000007505e-01,2.399825261523676895e-02,5.759580627656824880e+00,-2.399827721492202998e-02,-5.759586531581287083e+00
2.000000000000000000e+00,4.997349087455886241e-01,2.498674543727943120e-01,4.799650336828245600e-02,5.759580180730965893e+00,-4.799655442984405995e-02,-5.759586531581287083e+00
3.000000000000000000e+00,4.979752637737298593e-01,2.489876318868649296e-01,7.199475061772450668e-02,5.759579339866093939e+00,-7.199483164476608299e-02,-5.759586531581287083e+00
4.000000000000000000e+00,4.957502601247949503e-01,2.478751300623974752e-01,9.599298438512317289e-02,5.759576104175678779e+00,-9.599310885968811990e-02,-5.759586531581287083e+00
5.000000000000000000e+00,4.930559739233431604e-01,2.465279869616715802e-01,1.199912302934910691e-01,5.759579018008293971e+00,-1.199913860746101568e-01,-5.759586531581287083e+00
6.000000000000000000e+00,4.898846384356390082e-01,2.449423192178195041e-01,1.439894753968855301e-01,5.759578824814671982e+00,-1.439896632895321937e-01,-5.759586531581287083e+00
7.000000000000000000e+00,4.862246061971032263e-01,2.431123030985516131e-01,1.679877132564144004e-01,5.759577086286930658e+00,-1.679879405044542307e-01,-5.759586531581287083e+00
8.000000000000000000e+00,4.820601269324124027e-01,2.410300634662062014e-01,1.919859474761123064e-01,5.759576212727498756e+00,-1.919862177193762676e-01,-5.759586531581287083e+00
9.000000000000000000e+00,4.773711493470245149e-01,2.386855746735122574e-01,2.159842246910343433e-01,5.759586531581287083e+00,-2.159843814759222769e-01,-5.759559301571040457e+00
1.000000000000000000e+01,4.721909944176523322e-01,2.360954972088261661e-01,2.399825019059563802e-01,5.759586531581287083e+00,-2.399826586908443138e-01,-5.759586531581287083e+00
1.100000000000000000e+01,4.667090824622364131e-01,2.333545412311182066e-01,2.639807791208784171e-01,5.759586531581287083e+00,-2.639809359057663229e-01,-5.759586531581287083e+00
1.200000000000000000e+01,4.609540866482022548e-01,2.304770433241011274e-01,2.879790563358004540e-01,5.759586531581287083e+00,-2.879792131206883599e-01,-5.759586531581287083e+00
1.300000000000000000e+01,4.549488161333881675e-01,2.274744080666940838e-01,3.115410621223605458e-01,5.654881388774422923e+00,-3.115411693684493888e-01,-5.654869499462652271e+00
1.400000000000000000e+01,4.487292071081379063e-01,2.243646035540689532e-01,3.327468334699543728e-01,5.089385123422519364e+00,-3.327470397332025209e-01,-5.089408887540753490e+00
1.500000000000000000e+01,4.423510627916684146e-01,2.211755313958342073e-01,3.518320276827888171e-01,4.580446611080265740e+00,-3.518321037399517182e-01,-4.580415361619811776e+00
1.600000000000000000e+01,4.356426441640878777e-01,2.178213220820439389e-01,3.690087024743398114e-01,4.122401949972240409e+00,-3.690088863721151524e-01,-4.122427831719224223e+00
1.700000000000000000e+01,4.286565956137967093e-01,2.143282978068983546e-01,3.844677097867357229e-01,3.710161754975016102e+00,-3.844679862828739858e-01,-3.710183978582117792e+00
1.800000000000000000e+01,4.214540877614658676e-01,2.107270438807329338e-01,3.983808163678920211e-01,3.339145579477513781e+00,-3.983811819865122894e-01,-3.339166968873191088e+00
1.900000000000000000e+01,4.140447501098110106e-01,2.070223750549055053e-01,4.109026122909327228e-01,3.005231021529763513e+00,-4.109030574992592610e-01,-3.005250123059277190e+00
2.000000000000000000e+01,4.064106569220909404e-01,2.032053284610454702e-01,4.221722286216693099e-01,2.704707919376786673e+00,-4.221727416907236630e-01,-2.704724205951454685e+00
2.100000000000000000e+01,3.985335946160061260e-01,1.992667973080030630e-01,4.323148833193322660e-01,2.434237127439107695e+00,-4.323154641588211611e-01,-2.434253392343395106e+00
2.200000000000000000e+01,3.904026125600286168e-01,1.952013062800143084e-01,4.414432725472289265e-01,2.190813414695196748e+00,-4.083171869438991242e-01,5.759586531581287083e+00
2.300000000000000000e+01,3.822689016393488459e-01,1.911344508196744230e-01,4.496587867467309874e-01,1.971723407880493939e+00,-4.198453458093390767e-01,-2.766758127705593928e+00
2.400000000000000000e+01,3.735030557149132679e-01,1.867515278574566340e-01,4.570527856318877813e-01,1.774559732437628101e+00,-3.958471868538257499e-01,5.759558149323201981e+00
2.500000000000000000e+01,3.648533262098846430e-01,1.824266631049423215e-01,4.637073846285288958e-01,1.597103759193864825e+00,-3.718490201723912425e-01,5.759560003544287099e+00
2.600000000000000000e+01,3.559155594398939471e-01,1.779577797199469735e-01,4.696965237255059100e-01,1.437393383274478076e+00,-3.478507429574692056e-01,5.759586531581287083e+00
2.700000000000000000e+01,1.733245998130429344e-01,1.733245998130429344e-01,4.750867489127851839e-01,1.293654044947030402e+00,-3.238524657425471687e-01,5.759586531581287083e+00
2.800000000000000000e+01,1.690389054373911126e-01,1.690389054373911126e-01,4.799379515813365638e-01,1.164288640452327606e+00,-2.998541885276251318e-01,5.759586531581287083e+00
2.900000000000000000e+01,1.650745932192558829e-01,1.650745932192558829e-01,4.843040339830327889e-01,1.047859776407094046e+00,-2.758559113127030948e-01,5.759586531581287083e+00
3.000000000000000000e+01,1.614211179087963466e-01,1.614211179087963466e-01,4.882335081445594027e-01,9.430737987663846411e-01,-2.518576340977810579e-01,5.759586531581287083e+00
3.100000000000000000e+01,1.580696081460419289e-01,1.580696081460419289e-01,4.917700348899333163e-01,8.487664188897459105e-01,-2.278593568828590210e-01,5.759586531581287083e+00
3.200000000000000000e+01,1.550128471669132701e-01,1.550128471669132701e-01,4.949529089607698773e-01,7.638897770007720966e-01,-2.038610796679369841e-01,5.759586531581287083e+00
3.300000000000000000e+01,1.522441375239270700e-01,1.522441375239270700e-01,4.978174956245227656e-01,6.875007993006946316e-01,-1.798628024530149472e-01,5.759586531581287083e+00
3.400000000000000000e+01,1.497548491446973884e-01,1.497548491446973884e-01,5.003956236219003761e-01,6.187507193706252018e-01,-1.558645252380929103e-01,5.759586531581287083e+00
3.500000000000000000e+01,1.475359915949195910e-01,1.475359915949195910e-01,5.027159388195402423e-01,5.568756474335624373e-01,-1.318662480231708733e-01,5.759586531581287083e+00
3.600000000000000000e+01,1.455784112207120784e-01,1.455784112207120784e-01,5.048042224974160774e-01,5.011880826902056496e-01,-1.078679708082488364e-01,5.759586531581287083e+00
3.700000000000000000e+01,1.438729469807353278e-01,1.438729469807353278e-01,5.066836778075043402e-01,4.510692744211857730e-01,-8.386969359332679952e-02,5.759586531581287083e+00
3.800000000000000000e+01,1.424105494046123410e-01,1.424105494046123410e-01,5.083752005802674168e-01,4.059654654631317805e-01,-5.987147031836517752e-02,5.759573585990789724e+00
3.900000000000000000e+01,1.439943992528996963e-01,1.439943992528996963e-01,5.098975580820706011e-01,3.653658004327535735e-01,-3.587319310344314754e-02,5.759586531581287083e+00
4.000000000000000000e+01,1.458221703612113396e-01,1.458221703612113396e-01,5.112676798336934780e-01,3.288292203894772614e-01,-1.187491588852111757e-02,5.759586531581287083e+00
4.100000000000000000e+01,1.479010093733266196e-01,1.479010093733266196e-01,5.125007894101539785e-01,2.959462983505281586e-01,1.212336132640091241e-02,5.759586531581287083e+00
4.200000000000000000e+01,1.502402678107341849e-01,1.502402678107341849e-01,5.136105880289684178e-01,2.663516685154760921e-01,3.612163854132294238e-02,5.759586531581287083e+00
4.300000000000000000e+01,1.528508733360760541e-01,1.528508733360760541e-01,5.146094067859015020e-01,2.397165016639296042e-01,6.011991575624497236e-02,5.759586531581287083e+00
4.400000000000000000e+01,1.557424994756119729e-01,1.557424994756119729e-01,5.155083511891138670e-01,2.157466567709733218e-01,8.411819297116700234e-02,5.759586531581287083e+00
4.500000000000000000e+01,1.589222809496335653e-01,1.589222809496335653e-01,5.163209671860258254e-01,1.950278392588816190e-01,1.080021712016319829e-01,5.732154775311595785e+00
4.600000000000000000e+01,1.621895180101675105e-01,1.621895180101675105e-01,5.170487480272530911e-01,1.746674018945517937e-01,1.320004484165540060e-01,5.759586531581287083e+00
4.700000000000000000e+01,1.652542432133720096e-01,1.652542432133720096e-01,5.177037507843577080e-01,1.572006617050973609e-01,1.559987256314760429e-01,5.759586531581287083e+00
4.800000000000000000e+01,1.681036660370471281e-01,1.681036660370471281e-01,5.182932532657518188e-01,1.414805955345865840e-01,1.799970028463980798e-01,5.759586531581287083e+00
4.900000000000000000e+01,1.707251573194272232e-01,1.707251573194272232e-01,5.188238054990065296e-01,1.273325359811279534e-01,2.039952800613201167e-01,5.759586531581287083e+00
5.000000000000000000e+01,1.731061515626374225e-01,1.731061515626374225e-01,5.193013025089358026e-01,1.145992823830148666e-01,2.279935572762421536e-01,5.759586531581287083e+00
5.100000000000000000e+01,1.752340920447450767e-01,1.752340920447450767e-01,5.197310498178721039e-01,1.031393541447123002e-01,2.519918344911641905e-01,5.759586531581287083e+00
5.200000000000000000e+01,1.770963629867597922e-01,1.770963629867597922e-01,5.201178223959147529e-01,9.282541873024106882e-02,2.759901117060862274e-01,5.759586531581287083e+00
5.300000000000000000e+01,1.786988159299709444e-01,1.786988159299709444e-01,5.204659177161531369e-01,8.354287685721749346e-02,2.999883889210082644e-01,5.759586531581287083e+00
5.400000000000000000e+01,1.800472625921660796e-01,1.800472625921660796e-01,5.207792035043676826e-01,7.518858917149627563e-02,3.223494275887373028e-01,5.366649280254972787e+00
5.500000000000000000e+01,1.811336344561430001e-01,1.811336344561430001e-01,5.210611607137607404e-01,6.766973025434719347e-02,3.424743623896934763e-01,4.829984352229478084e+00
5.600000000000000000e+01,1.821169437338132358e-01,1.821169437338132358e-01,5.213149222022145368e-01,6.090275722891381333e-02,3.605868037105540158e-01,4.346985917006527700e+00
