,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel
0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0,0.0,0.0,0.0,-0.00200628125,0.0,0.004,0.0
1,0.01,-0.0026414001278551808,9.999641418457031,-0.0026414001278551808,-0.06351188778551813,0.0049999641418457036,0.09999641418457032,0.01,-0.0012636524288870484,-10.0,-0.0012636524288870484,0.07426288211129516,0.003,-0.1,0.01,-0.000938576095268884,-10.0,-0.000938576095268884,0.10677051547311156,0.003,-0.1,0.01,-0.0014204856206087588,-9.778431892395021,-0.0014204856206087588,0.05857956293912411,0.003022156810760498,-0.0977843189239502,0.01,-0.0010524443051077516,-10.0,-0.0010524443051077516,0.09538369448922483,0.003,-0.1
2,0.02,-0.0035267583214459858,10.0,-0.0035267583214459858,-0.08853581935908043,0.006999928283691406,0.19999641418457031,0.02,-0.00010733493154462502,-10.0,-0.00010733493154462502,0.11563174973424233,0.001,-0.2,0.02,-0.0005810225689841074,3.2608680725097656,-0.0005810225689841074,0.03575535262847768,0.0023260868072509763,-0.06739131927490236,0.02,-0.0021513621544815807,9.993141174316406,-0.0021513621544815807,-0.07308765338728218,0.0030436277389526366,0.002147092819213866,0.02,-0.0013657803275205751,10.0,-0.0013657803275205751,-0.03133360224128236,0.003,0.0
3,0.03,-0.004131678196556669,10.0,-0.004131678196556669,-0.06049198751106835,0.008,0.29999641418457035,0.03,-0.0007462955381386985,10.0,-0.0007462955381386985,-0.06389606065940735,0.0,-0.1,0.03,-1.0184344508167109e-05,-10.0,-1.0184344508167109e-05,0.05708382244759403,0.0006521736145019526,-0.16739131927490236,0.03,-0.003921564382990084,9.999998092651367,-0.003921564382990084,-0.17702022285085028,0.004065098476409912,0.10214707374572754,0.03,-0.0010701483383861374,-10.0,-0.0010701483383861374,0.029563198913443767,0.002,-0.1
4,0.04,-0.0023948950166530606,-9.999752998352049,-0.0023948950166530606,0.17367831799036085,0.008,0.19999888420104983,0.04,-0.002888016491619085,10.0,-0.002888016491619085,-0.21417209534803863,0.0,0.0,0.04,-0.001271918279687966,10.0,-0.001271918279687966,-0.1261733935179799,0.0,-0.06739131927490236,0.04,-0.006075014132044671,10.0,-0.006075014132044671,-0.21534497490545876,0.006086569213867188,0.20214707374572757,0.04,-0.00203002389326406,10.0,-0.00203002389326406,-0.0959875554877922,0.002,0.0
5,0.05,0.0006254363820756553,-10.0,0.0006254363820756553,0.3020331398728716,0.008,0.09999888420104983,0.05,-0.005589091083213156,10.0,-0.005589091083213156,-0.2701074591594071,0.001,0.1,0.05,-0.003593350835999774,10.0,-0.003593350835999774,-0.2321432556311808,0.00032608680725097647,0.03260868072509765,0.05,-0.007820591568733942,10.0,-0.007820591568733942,-0.174557743668927,0.008,0.3021470737457276,0.05,-0.003723057597690588,10.0,-0.003723057597690588,-0.16930337044265284,0.003,0.1
6,0.06,0.0035162109047432518,-10.0,0.0035162109047432518,0.2890774522667596,0.007999988842010499,-1.1157989501797692e-06,0.06,-0.007670694045616266,10.0,-0.007670694045616266,-0.20816029624031096,0.003,0.2,0.06,-0.00557762939270291,10.0,-0.00557762939270291,-0.1984278556703136,0.001652173614501953,0.13260868072509763,0.06,-0.007671282802832709,0.0,-0.007671282802832709,0.014930876590123291,0.008,0.3021470737457276,0.06,-0.0052326646478099235,10.0,-0.0052326646478099235,-0.1509607050119335,0.005,0.2
7,0.07,0.006277428551349726,-10.0,0.006277428551349726,0.27612176466064753,0.006999977684020997,-0.10000111579895019,0.07,-0.0082329827626425,10.0,-0.0082329827626425,0.0,0.006,0.30000000000000004,0.07,-0.006044287986183232,10.0,-0.006044287986183232,-0.046665859348032246,0.003978260421752929,0.2326086807250977,0.07,-0.005696780929200349,0.0,-0.005696780929200349,0.197450187363236,0.008,0.3021470737457276,0.07,-0.005744242451238874,10.0,-0.005744242451238874,-0.051157780342895046,0.008,0.30000000000000004
8,0.08,0.008909089321895082,-10.0,0.008909089321895082,0.2631660770545355,0.004999966526031495,-0.20000111579895016,0.08,-0.0047834353577572335,-10.0,-0.0047834353577572335,0.34495474048852653,0.008,0.20000000000000004,0.08,-0.004731345701615472,10.0,-0.004731345701615472,0.131294228456776,0.007304347229003907,0.33260868072509764,0.08,-0.0017827291438469023,-10.0,-0.0017827291438469023,0.3914051785353446,0.008,0.2021470737457276,0.08,-0.004133287509279019,0.0,-0.004133287509279019,0.1610954941959854,0.008,0.30000000000000004
9,0.08999999999999998,0.011411193216379316,-10.0,0.011411193216379316,0.25021038944842344,0.001999955368041993,-0.30000111579895017,0.08999999999999998,0.0005048651532857393,-9.02693271636963,0.0005048651532857393,0.5288300511042973,0.008,0.10973067283630374,0.08999999999999998,-0.000738772815263954,-10.0,-0.000738772815263954,0.39925728863515186,0.008,0.23260868072509763,0.08999999999999998,0.0026230810345039667,-10.0,0.0026230810345039667,0.4405810178350869,0.008,0.10214707374572755,0.08999999999999998,-0.0004250627198702632,-10.0,-0.0004250627198702632,0.3708224789408756,0.008,0.20000000000000004
10,0.1,0.013783740234802432,-10.0,0.013783740234802432,0.23725470184231137,0.0,-0.4000011157989501,0.1,0.004812165664328712,0.0,0.004812165664328712,0.4307300511042973,0.008,0.10973067283630374,0.1,0.0035217004481163366,-10.0,0.0035217004481163366,0.42604732633802905,0.008,0.13260868072509763,0.1,0.006899334336793715,-10.0,0.006899334336793715,0.42762533022897486,0.008,0.0021470737457275624,0.1,0.003371278945108659,-10.0,0.003371278945108659,0.37963416649789217,0.008,0.10000000000000003
11,0.11,0.015175287253225544,0.0,0.015175287253225544,0.13915470184231135,0.0,-0.4000011157989501,0.11,0.008138466175371683,0.0,0.008138466175371683,0.3326300511042972,0.008,0.10973067283630374,0.11,0.007652616835435506,-10.0,0.007652616835435506,0.41309163873191695,0.008,0.03260868072509762,0.11,0.011046030763022343,-10.0,0.011046030763022343,0.4146696426228628,0.007021470737457276,-0.09785292625427244,0.11,0.007038063734026461,-10.0,0.007038063734026461,0.3666784788917802,0.008,2.775557561562892e-17
12,0.12,0.01473439114770978,10.0,0.01473439114770978,-0.04408961055157656,0.0,-0.30000111579895017,0.12,0.011263944111174188,-9.16300106048584,0.011263944111174188,0.31254779358025053,0.008,0.018100662231445352,0.12,0.011653976346693556,-10.0,0.011653976346693556,0.40013595112580497,0.007326086807250976,-0.06739131927490238,0.12,0.015063170313189852,-10.0,0.015063170313189852,0.4017139550167508,0.005042941474914551,-0.19785292625427245,0.12,0.01057529164688314,-10.0,0.01057529164688314,0.35372279128566814,0.007,-0.09999999999999996
13,0.13,0.012461051918255134,10.0,0.012461051918255134,-0.22733392294546448,0.0,-0.20000111579895016,0.13,0.014234581863177845,-9.70305347442627,0.014234581863177845,0.2970637752003656,0.007210701274871826,-0.07892987251281734,0.13,0.015525778981890486,-10.0,0.015525778981890486,0.38718026351969287,0.005652173614501952,-0.1673913192749024,0.13,0.01895075298729624,-10.0,0.01895075298729624,0.38875826741063874,0.002064412212371826,-0.29785292625427245,0.13,0.013982962683678702,-10.0,0.013982962683678702,0.3407671036795561,0.005,-0.2
14,0.14,0.008355269564861609,10.0,0.008355269564861609,-0.4105782353393525,0.0,-0.10000111579895016,0.14,0.01705355540478912,-9.740354537963869,0.01705355540478912,0.2818973541611275,0.005447367095947266,-0.176333417892456,0.14,0.01926802474102629,-10.0,0.01926802474102629,0.3742245759135809,0.002978260421752928,-0.2673913192749024,0.14,0.022708778785341503,-10.0,0.022708778785341503,0.37580257980452664,0.0,-0.3978529262542725,0.14,0.017261076844413144,-10.0,0.017261076844413144,0.32781141607344405,0.002,-0.3
15,0.15,0.002417044087529207,10.0,0.002417044087529207,-0.5938225477332404,0.0,-1.1157989501520138e-06,0.15,0.01970734039814879,-9.58151435852051,0.01970734039814879,0.2653784993359668,0.002725881481170656,-0.2721485614776611,0.15,0.022880713624100983,-10.0,0.022880713624100983,0.3612688883074688,0.0,-0.3673913192749024,0.15,0.025485804583386774,0.0,0.025485804583386774,0.2777025798045267,0.0,-0.3978529262542725,0.15,0.020409634129086463,-10.0,0.020409634129086463,0.314855728467332,0.0,-0.4
16,0.16,-0.005353624513742076,10.0,-0.005353624513742076,-0.7770668601271283,0.0009999888420104985,0.09999888420104984,0.16,0.020903833235266303,5.593939781188965,0.020903833235266303,0.11964928371175176,0.0005637898445129412,-0.21620916366577145,0.16,0.024660959383236793,10.0,0.024660959383236793,0.17802457591358087,0.0,-0.26739131927490245,0.16,0.02728183038143204,0.0,0.02728183038143204,0.17960257980452665,0.0,-0.3978529262542725,0.16,0.022577191413759783,0.0,0.022577191413759783,0.216755728467332,0.0,-0.4
17,0.17,-0.011689793563731428,10.0,-0.011689793563731428,0.0,0.002999977684020997,0.19999888420104983,0.17,0.020426618282812163,8.135690689086914,0.020426618282812163,-0.04772149524541441,0.0,-0.1348522567749023,0.17,0.02460876201843372,10.0,0.02460876201843372,-0.005219736480307048,0.0,-0.16739131927490244,0.17,0.028096856179477304,0.0,0.028096856179477304,0.08150257980452665,0.0,-0.3978529262542725,0.17,0.023763748698433104,0.0,0.023763748698433104,0.11865572846733198,0.0,-0.4
18,0.18,-0.006546087973530628,10.0,-0.006546087973530628,0.51437055902008,0.005999966526031495,0.29999888420104986,0.18,0.01811706609114601,9.998756408691406,0.01811706609114601,-0.23095521916661543,0.0,-0.034864692687988245,0.18,0.023575564653630653,0.0,0.023575564653630653,-0.10331973648030704,0.0,-0.16739131927490244,0.18,0.027930881977522568,0.0,0.027930881977522568,-0.01659742019547336,0.0,-0.3978529262542725,0.18,0.023969305983106422,0.0,0.023969305983106422,0.02055572846733197,0.0,-0.4
